structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-111.21976
mdscoring_2.pdb	mdref_2.pdb	None	-121.3505
mdscoring_3.pdb	mdref_3.pdb	None	-108.35340000000002
mdscoring_4.pdb	mdref_4.pdb	None	-118.621
mdscoring_5.pdb	mdref_5.pdb	None	-122.40572
mdscoring_6.pdb	mdref_6.pdb	None	-114.54610000000001
mdscoring_7.pdb	mdref_7.pdb	None	-112.1808
mdscoring_8.pdb	mdref_8.pdb	None	-124.84400000000001
mdscoring_9.pdb	mdref_9.pdb	None	-133.8168
mdscoring_10.pdb	mdref_10.pdb	None	-121.28970000000001
