model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	cluster-id	cluster-ranking	model-cluster-ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	total	vdw	vean	xpcs
../08_mdscoring/mdscoring_9.pdb	-	1	-133.817	0.000	1.000	0.000	0.000	1.000	1	1	1	0.000	0.000	0.000	1932.870	0.000	0.000	0.000	-24.597	0.000	-130.578	0.000	0.000	0.000	-213.682	-83.104	0.000	0.000
../08_mdscoring/mdscoring_8.pdb	-	2	-124.844	1.193	0.685	2.602	1.265	0.737	1	1	2	0.000	0.000	0.000	1933.380	0.000	0.000	0.000	-16.712	0.000	-156.549	0.000	0.000	0.000	-233.371	-76.822	0.000	0.000
../08_mdscoring/mdscoring_5.pdb	-	3	-122.406	1.342	0.712	2.984	1.471	0.719	1	1	3	0.000	0.000	0.000	1818.400	0.000	0.000	0.000	-28.262	0.000	-72.048	0.000	0.000	0.000	-151.782	-79.735	0.000	0.000
../08_mdscoring/mdscoring_2.pdb	-	4	-121.350	1.089	0.767	2.073	1.186	0.789	1	1	4	0.000	0.000	0.000	1938.940	0.000	0.000	0.000	-18.855	0.000	-135.871	0.000	0.000	0.000	-211.193	-75.322	0.000	0.000
../08_mdscoring/mdscoring_10.pdb	-	5	-121.290	1.209	0.740	1.873	1.285	0.767	1	1	5	0.000	0.000	0.000	1931.080	0.000	0.000	0.000	-16.564	0.000	-148.410	0.000	0.000	0.000	-223.453	-75.043	0.000	0.000
../08_mdscoring/mdscoring_4.pdb	-	6	-118.621	1.011	0.740	1.643	1.065	0.797	1	1	6	0.000	0.000	0.000	1822.260	0.000	0.000	0.000	-20.564	0.000	-114.919	0.000	0.000	0.000	-189.991	-75.073	0.000	0.000
../08_mdscoring/mdscoring_6.pdb	-	7	-114.546	1.222	0.726	1.407	1.260	0.767	1	1	7	0.000	0.000	0.000	1856.930	0.000	0.000	0.000	-11.571	0.000	-113.815	0.000	0.000	0.000	-194.027	-80.212	0.000	0.000
../08_mdscoring/mdscoring_7.pdb	-	8	-112.181	1.232	0.671	1.519	1.375	0.746	1	1	8	0.000	0.000	0.000	1886.770	0.000	0.000	0.000	-14.813	0.000	-153.562	0.000	0.000	0.000	-220.217	-66.655	0.000	0.000
../08_mdscoring/mdscoring_1.pdb	-	9	-111.220	1.104	0.740	1.994	1.236	0.779	1	1	9	0.000	0.000	0.000	1871.770	0.000	0.000	0.000	-24.783	0.000	-51.648	0.000	0.000	0.000	-127.755	-76.107	0.000	0.000
../08_mdscoring/mdscoring_3.pdb	-	10	-108.353	1.182	0.658	1.984	1.368	0.741	1	1	10	0.000	0.000	0.000	1910.440	0.000	0.000	0.000	-13.674	0.000	-121.339	0.000	0.000	0.000	-191.750	-70.412	0.000	0.000
