structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-113.96162000000001
mdscoring_2.pdb	mdref_2.pdb	None	-105.5348
mdscoring_3.pdb	mdref_3.pdb	None	-127.00680999999999
mdscoring_4.pdb	mdref_4.pdb	None	-124.25562000000001
mdscoring_5.pdb	mdref_5.pdb	None	-98.13343
mdscoring_6.pdb	mdref_6.pdb	None	-113.4865
mdscoring_7.pdb	mdref_7.pdb	None	-96.0514
mdscoring_8.pdb	mdref_8.pdb	None	-123.32840000000002
mdscoring_9.pdb	mdref_9.pdb	None	-106.92008999999999
mdscoring_10.pdb	mdref_10.pdb	None	-78.5565
