model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	cluster-id	cluster-ranking	model-cluster-ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	total	vdw	vean	xpcs
../08_mdscoring/mdscoring_3.pdb	-	1	-127.007	0.000	1.000	0.000	0.000	1.000	1	1	1	0.000	0.000	0.000	1897.210	0.000	0.000	0.000	6.015	0.000	-274.150	0.000	0.000	0.000	-352.342	-78.192	0.000	0.000
../08_mdscoring/mdscoring_4.pdb	-	2	-124.256	1.395	0.831	3.563	1.865	0.739	1	1	2	0.000	0.000	0.000	1924.350	0.000	0.000	0.000	2.939	0.000	-239.700	0.000	0.000	0.000	-318.955	-79.255	0.000	0.000
../08_mdscoring/mdscoring_8.pdb	-	3	-123.328	1.638	0.723	7.228	3.448	0.587	1	1	3	0.000	0.000	0.000	1966.790	0.000	0.000	0.000	11.476	0.000	-295.649	0.000	0.000	0.000	-371.323	-75.674	0.000	0.000
../08_mdscoring/mdscoring_1.pdb	-	4	-113.962	1.221	0.800	2.151	1.331	0.780	1	1	4	0.000	0.000	0.000	1830.810	0.000	0.000	0.000	7.775	0.000	-261.474	0.000	0.000	0.000	-330.915	-69.442	0.000	0.000
../08_mdscoring/mdscoring_6.pdb	-	5	-113.487	1.298	0.846	2.354	1.579	0.782	1	1	5	0.000	0.000	0.000	2166.640	0.000	0.000	0.000	11.940	0.000	-257.422	0.000	0.000	0.000	-331.364	-73.942	0.000	0.000
../08_mdscoring/mdscoring_9.pdb	-	6	-106.920	1.301	0.769	3.512	2.099	0.731	1	1	6	0.000	0.000	0.000	1990.170	0.000	0.000	0.000	4.090	0.000	-188.896	0.000	0.000	0.000	-262.126	-73.231	0.000	0.000
../08_mdscoring/mdscoring_2.pdb	-	7	-105.535	1.534	0.708	2.466	1.736	0.706	1	1	7	0.000	0.000	0.000	1880.060	0.000	0.000	0.000	14.605	0.000	-296.043	0.000	0.000	0.000	-356.974	-60.931	0.000	0.000
../08_mdscoring/mdscoring_5.pdb	-	8	-98.133	1.292	0.800	3.215	1.493	0.750	1	1	8	0.000	0.000	0.000	1865.960	0.000	0.000	0.000	8.229	0.000	-202.744	0.000	0.000	0.000	-268.558	-65.813	0.000	0.000
../08_mdscoring/mdscoring_7.pdb	-	9	-96.051	2.263	0.569	11.933	4.859	0.404	1	1	9	0.000	0.000	0.000	1819.900	0.000	0.000	0.000	15.122	0.000	-245.432	0.000	0.000	0.000	-307.519	-62.087	0.000	0.000
../08_mdscoring/mdscoring_10.pdb	-	10	-78.556	1.379	0.800	1.920	1.203	0.764	1	1	10	0.000	0.000	0.000	1746.850	0.000	0.000	0.000	13.536	0.000	-187.827	0.000	0.000	0.000	-242.354	-54.527	0.000	0.000
