rank	model_name	score	cluster_id
1	rigidbody_25.pdb	108.13	-
2	rigidbody_119.pdb	109.11	-
3	rigidbody_80.pdb	112.18	2
4	rigidbody_9.pdb	113.28	-
5	rigidbody_91.pdb	117.76	-
6	rigidbody_81.pdb	125.93	-
7	rigidbody_197.pdb	127.28	-
8	rigidbody_99.pdb	128.90	-
9	rigidbody_45.pdb	129.68	-
10	rigidbody_134.pdb	130.57	-
11	rigidbody_7.pdb	130.82	-
12	rigidbody_62.pdb	131.25	1
13	rigidbody_72.pdb	131.83	2
14	rigidbody_160.pdb	133.37	1
15	rigidbody_182.pdb	134.44	-
16	rigidbody_97.pdb	135.35	-
17	rigidbody_147.pdb	135.58	-
18	rigidbody_16.pdb	135.66	2
19	rigidbody_43.pdb	135.91	-
20	rigidbody_102.pdb	137.08	-
21	rigidbody_94.pdb	137.11	-
22	rigidbody_111.pdb	137.96	-
23	rigidbody_164.pdb	138.29	-
24	rigidbody_156.pdb	140.60	-
25	rigidbody_116.pdb	140.93	-
26	rigidbody_88.pdb	141.07	-
27	rigidbody_121.pdb	141.50	-
28	rigidbody_65.pdb	141.86	-
29	rigidbody_129.pdb	142.62	-
30	rigidbody_188.pdb	142.93	-
31	rigidbody_145.pdb	143.57	-
32	rigidbody_141.pdb	143.63	-
33	rigidbody_5.pdb	143.87	2
34	rigidbody_125.pdb	145.68	1
35	rigidbody_40.pdb	146.00	-
36	rigidbody_165.pdb	146.15	-
37	rigidbody_78.pdb	147.06	-
38	rigidbody_151.pdb	147.22	-
39	rigidbody_48.pdb	147.43	-
40	rigidbody_31.pdb	147.73	-
41	rigidbody_115.pdb	148.04	-
42	rigidbody_132.pdb	148.68	-
43	rigidbody_41.pdb	148.99	-
44	rigidbody_63.pdb	149.87	-
45	rigidbody_1.pdb	150.08	-
46	rigidbody_200.pdb	150.53	-
47	rigidbody_198.pdb	150.67	1
48	rigidbody_159.pdb	151.02	2
49	rigidbody_54.pdb	151.53	-
50	rigidbody_107.pdb	151.62	-
51	rigidbody_76.pdb	151.67	-
52	rigidbody_167.pdb	151.82	-
53	rigidbody_51.pdb	152.05	2
54	rigidbody_68.pdb	152.20	-
55	rigidbody_2.pdb	152.30	-
56	rigidbody_59.pdb	152.38	-
57	rigidbody_153.pdb	152.58	-
58	rigidbody_89.pdb	152.93	-
59	rigidbody_8.pdb	153.26	-
60	rigidbody_169.pdb	153.33	-
61	rigidbody_148.pdb	153.88	-
62	rigidbody_79.pdb	153.90	-
63	rigidbody_142.pdb	154.65	-
64	rigidbody_30.pdb	155.03	-
65	rigidbody_177.pdb	155.32	1
66	rigidbody_69.pdb	155.44	2
67	rigidbody_136.pdb	155.74	-
68	rigidbody_37.pdb	156.18	-
69	rigidbody_15.pdb	156.40	-
70	rigidbody_87.pdb	156.50	-
71	rigidbody_161.pdb	159.16	-
72	rigidbody_166.pdb	159.37	-
73	rigidbody_57.pdb	159.75	-
74	rigidbody_84.pdb	159.98	-
75	rigidbody_42.pdb	161.10	-
76	rigidbody_124.pdb	161.24	-
77	rigidbody_157.pdb	161.54	-
78	rigidbody_33.pdb	161.91	-
79	rigidbody_71.pdb	162.47	-
80	rigidbody_170.pdb	162.74	-
81	rigidbody_49.pdb	163.39	-
82	rigidbody_175.pdb	164.02	-
83	rigidbody_104.pdb	164.81	-
84	rigidbody_120.pdb	165.50	-
85	rigidbody_109.pdb	165.66	1
86	rigidbody_154.pdb	166.10	-
87	rigidbody_26.pdb	166.74	2
88	rigidbody_12.pdb	167.12	-
89	rigidbody_101.pdb	167.55	-
90	rigidbody_27.pdb	167.72	-
91	rigidbody_85.pdb	167.74	-
92	rigidbody_3.pdb	167.76	-
93	rigidbody_189.pdb	167.94	2
94	rigidbody_47.pdb	167.95	-
95	rigidbody_24.pdb	168.24	1
96	rigidbody_95.pdb	168.60	-
97	rigidbody_196.pdb	168.66	-
98	rigidbody_173.pdb	169.15	-
99	rigidbody_22.pdb	170.10	-
100	rigidbody_172.pdb	170.89	-
101	rigidbody_137.pdb	171.00	-
102	rigidbody_83.pdb	171.44	-
103	rigidbody_190.pdb	171.46	-
104	rigidbody_82.pdb	171.69	1
105	rigidbody_195.pdb	171.74	-
106	rigidbody_66.pdb	171.78	-
107	rigidbody_171.pdb	171.89	-
108	rigidbody_44.pdb	172.23	-
109	rigidbody_152.pdb	172.63	-
110	rigidbody_35.pdb	173.77	-
111	rigidbody_193.pdb	174.95	-
112	rigidbody_168.pdb	176.01	-
113	rigidbody_139.pdb	176.02	-
114	rigidbody_13.pdb	176.12	-
115	rigidbody_179.pdb	176.64	-
116	rigidbody_100.pdb	176.64	-
117	rigidbody_113.pdb	177.43	-
118	rigidbody_90.pdb	177.93	-
119	rigidbody_50.pdb	178.13	-
120	rigidbody_140.pdb	178.31	-
121	rigidbody_96.pdb	178.93	-
122	rigidbody_184.pdb	179.07	-
123	rigidbody_126.pdb	180.64	-
124	rigidbody_135.pdb	180.78	1
125	rigidbody_92.pdb	181.34	-
126	rigidbody_70.pdb	181.49	-
127	rigidbody_28.pdb	181.85	-
128	rigidbody_122.pdb	182.16	-
129	rigidbody_93.pdb	182.24	-
130	rigidbody_144.pdb	182.58	-
131	rigidbody_32.pdb	183.15	-
132	rigidbody_17.pdb	185.49	-
133	rigidbody_77.pdb	185.70	-
134	rigidbody_110.pdb	186.00	-
135	rigidbody_61.pdb	186.21	-
136	rigidbody_149.pdb	186.31	-
137	rigidbody_29.pdb	187.17	-
138	rigidbody_183.pdb	187.19	-
139	rigidbody_181.pdb	187.61	-
140	rigidbody_53.pdb	188.27	-
141	rigidbody_186.pdb	188.71	-
142	rigidbody_194.pdb	188.74	-
143	rigidbody_158.pdb	189.10	-
144	rigidbody_11.pdb	189.68	-
145	rigidbody_52.pdb	190.75	-
146	rigidbody_174.pdb	191.63	-
147	rigidbody_127.pdb	193.95	-
148	rigidbody_162.pdb	194.19	-
149	rigidbody_178.pdb	194.68	2
150	rigidbody_34.pdb	197.22	-
151	rigidbody_14.pdb	198.56	-
152	rigidbody_46.pdb	198.80	-
153	rigidbody_4.pdb	199.50	-
154	rigidbody_112.pdb	199.64	-
155	rigidbody_36.pdb	200.71	-
156	rigidbody_143.pdb	201.09	-
157	rigidbody_39.pdb	202.20	-
158	rigidbody_86.pdb	202.58	1
159	rigidbody_18.pdb	202.78	-
160	rigidbody_131.pdb	202.89	-
161	rigidbody_155.pdb	203.63	-
162	rigidbody_73.pdb	205.35	-
163	rigidbody_117.pdb	206.80	-
164	rigidbody_38.pdb	209.04	-
165	rigidbody_128.pdb	209.12	-
166	rigidbody_60.pdb	209.46	-
167	rigidbody_23.pdb	210.09	-
168	rigidbody_192.pdb	210.28	-
169	rigidbody_163.pdb	210.59	-
170	rigidbody_98.pdb	211.22	-
171	rigidbody_56.pdb	211.57	-
172	rigidbody_138.pdb	212.06	-
173	rigidbody_19.pdb	212.77	-
174	rigidbody_199.pdb	213.39	-
