rank	model_name	score	cluster_id
1	rigidbody_40.pdb	83.57	-
2	rigidbody_177.pdb	92.08	-
3	rigidbody_125.pdb	96.04	-
4	rigidbody_33.pdb	96.82	-
5	rigidbody_161.pdb	101.24	-
6	rigidbody_59.pdb	101.94	-
7	rigidbody_95.pdb	103.23	-
8	rigidbody_8.pdb	104.19	-
9	rigidbody_129.pdb	104.77	-
10	rigidbody_43.pdb	108.16	-
11	rigidbody_2.pdb	110.18	-
12	rigidbody_7.pdb	111.19	-
13	rigidbody_134.pdb	111.92	-
14	rigidbody_27.pdb	113.40	-
15	rigidbody_151.pdb	114.57	2
16	rigidbody_62.pdb	115.15	-
17	rigidbody_141.pdb	115.15	-
18	rigidbody_83.pdb	115.64	-
19	rigidbody_66.pdb	115.69	-
20	rigidbody_170.pdb	117.38	-
21	rigidbody_76.pdb	119.91	-
22	rigidbody_61.pdb	120.65	-
23	rigidbody_194.pdb	120.69	-
24	rigidbody_157.pdb	120.77	-
25	rigidbody_197.pdb	120.90	-
26	rigidbody_31.pdb	120.90	-
27	rigidbody_19.pdb	120.96	-
28	rigidbody_167.pdb	122.10	-
29	rigidbody_140.pdb	122.17	-
30	rigidbody_90.pdb	123.50	-
31	rigidbody_96.pdb	123.89	-
32	rigidbody_173.pdb	124.99	-
33	rigidbody_44.pdb	126.04	-
34	rigidbody_142.pdb	126.57	-
35	rigidbody_48.pdb	126.58	-
36	rigidbody_49.pdb	126.62	-
37	rigidbody_196.pdb	127.58	-
38	rigidbody_94.pdb	127.88	-
39	rigidbody_99.pdb	128.39	-
40	rigidbody_122.pdb	128.94	-
41	rigidbody_175.pdb	130.58	-
42	rigidbody_12.pdb	131.24	-
43	rigidbody_136.pdb	131.33	2
44	rigidbody_88.pdb	132.31	-
45	rigidbody_102.pdb	132.71	-
46	rigidbody_189.pdb	134.36	1
47	rigidbody_68.pdb	134.60	-
48	rigidbody_182.pdb	135.16	-
49	rigidbody_79.pdb	135.58	2
50	rigidbody_60.pdb	136.13	-
51	rigidbody_191.pdb	136.25	-
52	rigidbody_57.pdb	136.26	-
53	rigidbody_115.pdb	136.37	-
54	rigidbody_26.pdb	136.41	-
55	rigidbody_53.pdb	136.78	-
56	rigidbody_113.pdb	136.81	1
57	rigidbody_92.pdb	136.94	1
58	rigidbody_132.pdb	137.60	-
59	rigidbody_124.pdb	137.71	-
60	rigidbody_133.pdb	138.34	-
61	rigidbody_174.pdb	138.80	-
62	rigidbody_107.pdb	139.13	-
63	rigidbody_135.pdb	139.43	-
64	rigidbody_159.pdb	140.43	-
65	rigidbody_30.pdb	140.75	-
66	rigidbody_193.pdb	141.36	-
67	rigidbody_165.pdb	141.86	-
68	rigidbody_119.pdb	142.40	-
69	rigidbody_150.pdb	142.45	1
70	rigidbody_41.pdb	142.68	-
71	rigidbody_120.pdb	143.99	-
72	rigidbody_195.pdb	144.18	-
73	rigidbody_25.pdb	144.44	-
74	rigidbody_14.pdb	144.62	-
75	rigidbody_50.pdb	145.06	-
76	rigidbody_4.pdb	145.98	-
