rank	model_name	score	cluster_id
1	rigidbody_19.pdb	127.41	-
2	rigidbody_4.pdb	129.44	-
3	rigidbody_66.pdb	131.64	-
4	rigidbody_97.pdb	132.72	-
5	rigidbody_25.pdb	133.28	-
6	rigidbody_103.pdb	135.97	-
7	rigidbody_43.pdb	136.98	-
8	rigidbody_99.pdb	138.13	-
9	rigidbody_148.pdb	140.14	-
10	rigidbody_53.pdb	145.38	-
11	rigidbody_31.pdb	146.60	-
12	rigidbody_152.pdb	146.67	-
13	rigidbody_119.pdb	146.90	-
14	rigidbody_172.pdb	147.25	-
15	rigidbody_56.pdb	148.11	-
16	rigidbody_197.pdb	149.11	-
17	rigidbody_37.pdb	151.27	-
18	rigidbody_69.pdb	151.35	-
19	rigidbody_5.pdb	152.01	-
20	rigidbody_63.pdb	152.56	-
21	rigidbody_33.pdb	153.70	-
22	rigidbody_170.pdb	154.93	-
23	rigidbody_91.pdb	156.03	-
24	rigidbody_142.pdb	156.85	-
25	rigidbody_156.pdb	157.09	-
26	rigidbody_16.pdb	157.60	-
27	rigidbody_160.pdb	157.92	-
28	rigidbody_136.pdb	158.06	-
29	rigidbody_40.pdb	158.25	-
30	rigidbody_125.pdb	158.99	-
31	rigidbody_134.pdb	160.33	-
32	rigidbody_79.pdb	160.88	-
33	rigidbody_47.pdb	161.75	-
34	rigidbody_141.pdb	162.78	-
35	rigidbody_35.pdb	164.11	-
36	rigidbody_196.pdb	165.00	-
37	rigidbody_85.pdb	165.31	-
38	rigidbody_30.pdb	165.42	-
39	rigidbody_195.pdb	165.76	-
40	rigidbody_61.pdb	165.95	-
41	rigidbody_182.pdb	165.98	-
42	rigidbody_64.pdb	166.22	-
43	rigidbody_81.pdb	167.62	-
44	rigidbody_159.pdb	167.91	-
45	rigidbody_124.pdb	169.32	-
46	rigidbody_57.pdb	170.13	-
47	rigidbody_194.pdb	171.11	-
48	rigidbody_166.pdb	171.15	-
49	rigidbody_138.pdb	172.14	-
50	rigidbody_126.pdb	173.09	-
51	rigidbody_9.pdb	173.90	-
52	rigidbody_21.pdb	174.17	-
53	rigidbody_70.pdb	174.86	-
54	rigidbody_175.pdb	175.05	-
55	rigidbody_187.pdb	175.98	-
56	rigidbody_2.pdb	176.90	-
57	rigidbody_158.pdb	176.92	-
58	rigidbody_17.pdb	179.75	-
59	rigidbody_181.pdb	179.83	-
60	rigidbody_22.pdb	180.38	-
61	rigidbody_13.pdb	180.74	-
62	rigidbody_68.pdb	180.91	-
63	rigidbody_140.pdb	181.66	-
64	rigidbody_167.pdb	181.72	-
65	rigidbody_14.pdb	181.73	-
66	rigidbody_115.pdb	182.19	-
67	rigidbody_192.pdb	183.82	-
68	rigidbody_1.pdb	183.86	-
69	rigidbody_45.pdb	183.89	-
70	rigidbody_122.pdb	184.36	-
71	rigidbody_105.pdb	184.59	-
72	rigidbody_154.pdb	184.86	-
73	rigidbody_7.pdb	185.04	-
74	rigidbody_88.pdb	186.26	-
75	rigidbody_109.pdb	186.41	-
76	rigidbody_51.pdb	186.85	-
77	rigidbody_36.pdb	187.36	-
78	rigidbody_8.pdb	187.40	-
79	rigidbody_165.pdb	187.49	-
80	rigidbody_50.pdb	187.58	-
81	rigidbody_95.pdb	188.36	-
82	rigidbody_153.pdb	188.46	-
83	rigidbody_168.pdb	189.72	-
84	rigidbody_128.pdb	190.81	-
85	rigidbody_164.pdb	190.83	-
86	rigidbody_27.pdb	191.55	-
87	rigidbody_180.pdb	191.62	-
88	rigidbody_171.pdb	191.89	-
89	rigidbody_186.pdb	191.90	-
90	rigidbody_133.pdb	191.91	-
91	rigidbody_71.pdb	191.99	-
92	rigidbody_83.pdb	192.11	-
93	rigidbody_188.pdb	192.19	-
94	rigidbody_58.pdb	192.61	-
95	rigidbody_62.pdb	194.27	-
96	rigidbody_184.pdb	194.31	-
97	rigidbody_111.pdb	194.66	-
98	rigidbody_42.pdb	195.16	-
99	rigidbody_3.pdb	195.27	-
100	rigidbody_87.pdb	195.28	-
101	rigidbody_135.pdb	195.52	-
102	rigidbody_107.pdb	196.05	-
103	rigidbody_157.pdb	196.18	-
104	rigidbody_6.pdb	196.90	-
105	rigidbody_28.pdb	197.77	-
106	rigidbody_193.pdb	198.39	-
107	rigidbody_198.pdb	198.73	-
108	rigidbody_72.pdb	199.06	-
109	rigidbody_113.pdb	199.18	-
110	rigidbody_139.pdb	199.26	-
111	rigidbody_177.pdb	199.44	-
112	rigidbody_15.pdb	201.34	-
113	rigidbody_73.pdb	201.76	-
114	rigidbody_11.pdb	202.84	-
115	rigidbody_82.pdb	202.98	-
116	rigidbody_32.pdb	203.84	-
117	rigidbody_76.pdb	204.10	-
118	rigidbody_129.pdb	204.41	-
119	rigidbody_29.pdb	205.79	-
120	rigidbody_178.pdb	206.64	-
121	rigidbody_65.pdb	206.93	-
122	rigidbody_98.pdb	206.99	-
123	rigidbody_127.pdb	207.45	-
124	rigidbody_150.pdb	207.47	-
125	rigidbody_86.pdb	207.76	-
126	rigidbody_23.pdb	208.11	-
127	rigidbody_26.pdb	208.49	-
128	rigidbody_48.pdb	208.57	-
129	rigidbody_149.pdb	208.57	-
130	rigidbody_89.pdb	208.85	-
131	rigidbody_100.pdb	208.86	-
132	rigidbody_189.pdb	209.02	-
133	rigidbody_18.pdb	209.41	-
134	rigidbody_20.pdb	210.19	-
135	rigidbody_174.pdb	211.04	-
136	rigidbody_59.pdb	211.38	-
137	rigidbody_132.pdb	212.01	-
138	rigidbody_131.pdb	212.30	-
139	rigidbody_49.pdb	215.17	-
140	rigidbody_185.pdb	215.35	-
141	rigidbody_191.pdb	215.50	-
142	rigidbody_151.pdb	216.51	-
143	rigidbody_200.pdb	216.57	1
144	rigidbody_108.pdb	217.29	-
145	rigidbody_123.pdb	218.35	-
146	rigidbody_44.pdb	218.50	-
147	rigidbody_54.pdb	218.84	1
148	rigidbody_106.pdb	220.33	-
149	rigidbody_121.pdb	223.15	-
150	rigidbody_114.pdb	223.24	-
151	rigidbody_77.pdb	223.52	-
152	rigidbody_176.pdb	223.93	-
153	rigidbody_41.pdb	224.16	-
154	rigidbody_163.pdb	224.25	-
155	rigidbody_60.pdb	224.53	-
156	rigidbody_46.pdb	224.58	-
157	rigidbody_145.pdb	224.76	1
158	rigidbody_80.pdb	225.45	-
159	rigidbody_10.pdb	225.56	-
160	rigidbody_90.pdb	227.02	-
161	rigidbody_169.pdb	228.03	-
162	rigidbody_78.pdb	228.08	1
163	rigidbody_144.pdb	228.28	1
164	rigidbody_55.pdb	229.16	-
165	rigidbody_34.pdb	229.27	-
166	rigidbody_147.pdb	230.52	-
167	rigidbody_137.pdb	230.73	-
168	rigidbody_110.pdb	232.76	-
169	rigidbody_93.pdb	233.82	-
170	rigidbody_92.pdb	234.92	-
171	rigidbody_84.pdb	236.30	-
172	rigidbody_38.pdb	237.70	-
173	rigidbody_162.pdb	238.42	-
174	rigidbody_67.pdb	238.85	-
175	rigidbody_179.pdb	239.05	-
176	rigidbody_183.pdb	240.51	-
177	rigidbody_117.pdb	240.95	1
178	rigidbody_12.pdb	242.41	-
179	rigidbody_143.pdb	243.97	-
180	rigidbody_94.pdb	244.80	1
181	rigidbody_118.pdb	244.80	-
182	rigidbody_173.pdb	244.80	-
183	rigidbody_112.pdb	245.21	1
184	rigidbody_161.pdb	245.31	-
185	rigidbody_74.pdb	246.54	-
186	rigidbody_120.pdb	247.35	1
187	rigidbody_199.pdb	247.71	-
188	rigidbody_101.pdb	249.27	-
189	rigidbody_102.pdb	249.30	-
190	rigidbody_96.pdb	251.13	1
191	rigidbody_52.pdb	257.96	-
192	rigidbody_190.pdb	258.58	-
193	rigidbody_24.pdb	259.16	-
194	rigidbody_75.pdb	265.63	-
195	rigidbody_116.pdb	270.64	-
196	rigidbody_104.pdb	271.26	-
197	rigidbody_155.pdb	281.88	-
198	rigidbody_130.pdb	283.04	-
199	rigidbody_146.pdb	290.36	-
200	rigidbody_39.pdb	293.43	-

