rank	model_name	score	cluster_id
1	rigidbody_57.pdb	103.33	-
2	rigidbody_62.pdb	110.79	-
3	rigidbody_9.pdb	119.95	1
4	rigidbody_69.pdb	123.66	-
5	rigidbody_61.pdb	123.84	1
6	rigidbody_151.pdb	129.27	-
7	rigidbody_173.pdb	129.62	2
8	rigidbody_95.pdb	130.85	-
9	rigidbody_136.pdb	131.21	-
10	rigidbody_99.pdb	132.03	-
11	rigidbody_72.pdb	132.55	2
12	rigidbody_193.pdb	134.86	-
13	rigidbody_7.pdb	138.27	2
14	rigidbody_177.pdb	139.16	-
15	rigidbody_96.pdb	139.19	2
16	rigidbody_47.pdb	139.47	-
17	rigidbody_16.pdb	141.05	-
18	rigidbody_121.pdb	141.14	2
19	rigidbody_197.pdb	142.32	-
20	rigidbody_172.pdb	142.55	2
21	rigidbody_83.pdb	145.36	-
22	rigidbody_109.pdb	146.84	-
23	rigidbody_66.pdb	147.22	-
24	rigidbody_63.pdb	147.57	-
25	rigidbody_97.pdb	147.96	-
26	rigidbody_25.pdb	148.83	-
27	rigidbody_104.pdb	149.72	-
28	rigidbody_135.pdb	149.95	-
29	rigidbody_85.pdb	151.19	-
30	rigidbody_125.pdb	151.30	-
31	rigidbody_161.pdb	151.54	-
32	rigidbody_13.pdb	152.01	-
33	rigidbody_141.pdb	152.24	-
34	rigidbody_49.pdb	152.35	-
35	rigidbody_88.pdb	152.49	-
36	rigidbody_3.pdb	153.08	1
37	rigidbody_142.pdb	155.06	-
38	rigidbody_102.pdb	155.71	-
39	rigidbody_20.pdb	156.95	-
40	rigidbody_118.pdb	159.22	-
41	rigidbody_198.pdb	160.82	-
42	rigidbody_75.pdb	162.13	-
43	rigidbody_119.pdb	162.77	-
44	rigidbody_164.pdb	163.47	-
45	rigidbody_154.pdb	164.17	1
46	rigidbody_115.pdb	164.37	-
47	rigidbody_31.pdb	164.99	-
48	rigidbody_111.pdb	165.14	-
49	rigidbody_84.pdb	165.65	-
50	rigidbody_35.pdb	165.73	-
51	rigidbody_147.pdb	166.26	-
52	rigidbody_195.pdb	166.46	-
53	rigidbody_43.pdb	166.73	-
54	rigidbody_34.pdb	166.93	-
55	rigidbody_106.pdb	167.14	-
56	rigidbody_127.pdb	168.11	-
57	rigidbody_6.pdb	169.35	-
58	rigidbody_17.pdb	169.68	-
59	rigidbody_77.pdb	169.97	-
60	rigidbody_93.pdb	170.07	-
61	rigidbody_79.pdb	170.28	-
62	rigidbody_33.pdb	170.49	-
63	rigidbody_192.pdb	170.97	-
64	rigidbody_51.pdb	171.68	-
65	rigidbody_138.pdb	171.69	-
66	rigidbody_30.pdb	172.10	1
67	rigidbody_181.pdb	173.01	-
68	rigidbody_92.pdb	173.06	-
69	rigidbody_68.pdb	173.56	-
70	rigidbody_144.pdb	173.72	-
71	rigidbody_37.pdb	173.72	-
72	rigidbody_112.pdb	173.75	-
73	rigidbody_167.pdb	173.78	-
74	rigidbody_60.pdb	174.58	-
75	rigidbody_182.pdb	174.60	-
76	rigidbody_8.pdb	174.81	-
77	rigidbody_103.pdb	175.53	-
78	rigidbody_159.pdb	175.79	-
79	rigidbody_175.pdb	175.87	1
80	rigidbody_137.pdb	175.97	-
81	rigidbody_123.pdb	176.39	-
82	rigidbody_19.pdb	176.52	-
83	rigidbody_176.pdb	177.58	-
84	rigidbody_170.pdb	177.83	-
85	rigidbody_24.pdb	177.87	-
86	rigidbody_26.pdb	178.23	-
87	rigidbody_59.pdb	178.78	-
88	rigidbody_179.pdb	179.34	-
89	rigidbody_58.pdb	180.19	-
90	rigidbody_190.pdb	180.19	-
91	rigidbody_50.pdb	180.73	-
92	rigidbody_169.pdb	184.32	-
93	rigidbody_10.pdb	184.50	-
94	rigidbody_67.pdb	184.54	-
95	rigidbody_70.pdb	184.87	-
96	rigidbody_153.pdb	185.31	-
97	rigidbody_22.pdb	185.72	-
98	rigidbody_168.pdb	186.51	-
99	rigidbody_110.pdb	187.29	-
100	rigidbody_150.pdb	187.68	-
101	rigidbody_166.pdb	187.71	-
102	rigidbody_45.pdb	188.17	-
103	rigidbody_129.pdb	188.38	-
104	rigidbody_194.pdb	188.41	-
105	rigidbody_183.pdb	188.57	-
106	rigidbody_73.pdb	188.99	-
107	rigidbody_145.pdb	189.15	-
108	rigidbody_44.pdb	189.50	-
109	rigidbody_133.pdb	189.64	-
110	rigidbody_199.pdb	190.32	-
111	rigidbody_156.pdb	191.04	-
112	rigidbody_40.pdb	191.42	-
113	rigidbody_157.pdb	191.43	-
114	rigidbody_107.pdb	191.61	-
115	rigidbody_76.pdb	192.62	-
116	rigidbody_160.pdb	193.01	-
117	rigidbody_101.pdb	193.14	-
118	rigidbody_158.pdb	193.29	-
119	rigidbody_29.pdb	195.74	-
120	rigidbody_196.pdb	196.06	-
121	rigidbody_14.pdb	196.19	-
122	rigidbody_98.pdb	196.36	-
123	rigidbody_124.pdb	196.75	-
124	rigidbody_48.pdb	199.71	-
125	rigidbody_78.pdb	199.94	-
126	rigidbody_64.pdb	200.21	-
127	rigidbody_81.pdb	202.80	-
128	rigidbody_65.pdb	203.68	-
129	rigidbody_23.pdb	203.84	-
130	rigidbody_189.pdb	205.51	-
131	rigidbody_36.pdb	205.53	-
132	rigidbody_94.pdb	206.00	-
133	rigidbody_128.pdb	206.24	-
134	rigidbody_105.pdb	206.74	-
135	rigidbody_21.pdb	207.35	-
136	rigidbody_87.pdb	208.50	-
137	rigidbody_152.pdb	208.83	-
138	rigidbody_139.pdb	209.11	-
139	rigidbody_56.pdb	210.88	-
140	rigidbody_140.pdb	211.58	-
141	rigidbody_55.pdb	211.75	-
142	rigidbody_15.pdb	212.50	-
143	rigidbody_5.pdb	212.53	-
144	rigidbody_27.pdb	212.87	-
145	rigidbody_165.pdb	212.93	-
146	rigidbody_71.pdb	213.00	-
147	rigidbody_188.pdb	213.24	-
148	rigidbody_191.pdb	214.15	-
149	rigidbody_113.pdb	215.63	-
150	rigidbody_12.pdb	216.53	-
151	rigidbody_187.pdb	216.96	-
152	rigidbody_42.pdb	217.54	-
153	rigidbody_80.pdb	217.82	-
154	rigidbody_117.pdb	218.31	-
155	rigidbody_1.pdb	218.35	-
156	rigidbody_155.pdb	218.93	-
157	rigidbody_91.pdb	219.96	-
158	rigidbody_54.pdb	220.05	-
159	rigidbody_149.pdb	221.14	-
160	rigidbody_52.pdb	221.77	-
161	rigidbody_143.pdb	221.96	-
162	rigidbody_89.pdb	222.12	-
163	rigidbody_134.pdb	222.92	-
164	rigidbody_53.pdb	223.86	-
165	rigidbody_171.pdb	224.07	-
166	rigidbody_185.pdb	224.71	-
167	rigidbody_162.pdb	224.98	-
168	rigidbody_100.pdb	226.77	-
169	rigidbody_163.pdb	227.54	-
170	rigidbody_90.pdb	227.60	-
171	rigidbody_28.pdb	228.60	-
172	rigidbody_178.pdb	230.08	-
173	rigidbody_32.pdb	230.69	-
174	rigidbody_180.pdb	231.99	-
175	rigidbody_114.pdb	232.09	-
176	rigidbody_2.pdb	233.23	-
177	rigidbody_126.pdb	233.24	-
178	rigidbody_46.pdb	235.67	-
179	rigidbody_108.pdb	236.98	-
180	rigidbody_148.pdb	237.16	-
181	rigidbody_120.pdb	237.36	-
182	rigidbody_82.pdb	237.81	-
183	rigidbody_4.pdb	237.96	-
184	rigidbody_122.pdb	239.14	-
