rank	model_name	score	cluster_id
1	rigidbody_164.pdb	83.35	-
2	rigidbody_64.pdb	104.01	-
3	rigidbody_122.pdb	106.96	-
4	rigidbody_51.pdb	107.57	-
5	rigidbody_36.pdb	108.00	-
6	rigidbody_4.pdb	108.95	-
7	rigidbody_134.pdb	110.72	2
8	rigidbody_152.pdb	111.09	-
9	rigidbody_140.pdb	112.89	-
10	rigidbody_66.pdb	113.07	-
11	rigidbody_144.pdb	113.07	-
12	rigidbody_159.pdb	113.93	-
13	rigidbody_95.pdb	114.16	-
14	rigidbody_19.pdb	114.43	-
15	rigidbody_110.pdb	115.36	-
16	rigidbody_166.pdb	116.74	2
17	rigidbody_149.pdb	121.77	2
18	rigidbody_65.pdb	125.17	-
19	rigidbody_80.pdb	129.65	-
20	rigidbody_62.pdb	130.43	-
21	rigidbody_160.pdb	131.58	-
22	rigidbody_47.pdb	133.06	-
23	rigidbody_1.pdb	133.44	-
24	rigidbody_82.pdb	133.96	-
25	rigidbody_50.pdb	133.98	-
26	rigidbody_2.pdb	134.75	-
27	rigidbody_197.pdb	134.91	-
28	rigidbody_148.pdb	135.22	-
29	rigidbody_128.pdb	135.71	-
30	rigidbody_57.pdb	137.03	-
31	rigidbody_132.pdb	137.29	2
32	rigidbody_119.pdb	137.43	-
33	rigidbody_31.pdb	138.13	-
34	rigidbody_43.pdb	138.30	-
35	rigidbody_5.pdb	138.46	-
36	rigidbody_124.pdb	138.98	-
37	rigidbody_53.pdb	139.20	-
38	rigidbody_137.pdb	140.88	-
39	rigidbody_84.pdb	141.23	-
40	rigidbody_175.pdb	141.62	-
41	rigidbody_196.pdb	142.78	-
42	rigidbody_9.pdb	143.38	-
43	rigidbody_94.pdb	144.07	-
44	rigidbody_46.pdb	144.24	-
45	rigidbody_167.pdb	144.43	-
46	rigidbody_26.pdb	145.19	-
47	rigidbody_102.pdb	146.07	-
48	rigidbody_151.pdb	146.30	-
49	rigidbody_145.pdb	146.31	-
50	rigidbody_106.pdb	146.34	-
51	rigidbody_115.pdb	146.83	-
52	rigidbody_29.pdb	147.10	-
53	rigidbody_16.pdb	147.36	-
54	rigidbody_63.pdb	147.52	-
55	rigidbody_105.pdb	147.86	-
56	rigidbody_41.pdb	148.01	-
57	rigidbody_182.pdb	148.32	-
58	rigidbody_136.pdb	148.42	-
59	rigidbody_48.pdb	148.50	-
60	rigidbody_181.pdb	149.67	-
61	rigidbody_162.pdb	149.90	-
62	rigidbody_56.pdb	150.11	-
63	rigidbody_161.pdb	150.41	-
64	rigidbody_104.pdb	150.70	-
65	rigidbody_49.pdb	150.82	-
66	rigidbody_126.pdb	150.95	-
67	rigidbody_133.pdb	150.95	-
68	rigidbody_89.pdb	151.37	-
69	rigidbody_177.pdb	151.47	-
70	rigidbody_198.pdb	152.66	-
71	rigidbody_153.pdb	153.22	-
72	rigidbody_101.pdb	153.60	-
73	rigidbody_129.pdb	153.87	-
74	rigidbody_170.pdb	155.15	1
75	rigidbody_22.pdb	155.56	-
76	rigidbody_109.pdb	155.56	-
77	rigidbody_33.pdb	155.63	-
78	rigidbody_8.pdb	156.06	-
79	rigidbody_30.pdb	156.92	-
80	rigidbody_35.pdb	157.18	-
81	rigidbody_45.pdb	157.74	-
82	rigidbody_32.pdb	158.27	-
83	rigidbody_3.pdb	159.87	-
84	rigidbody_40.pdb	159.91	-
85	rigidbody_141.pdb	161.34	-
86	rigidbody_87.pdb	161.86	-
87	rigidbody_91.pdb	162.13	-
88	rigidbody_99.pdb	162.16	-
89	rigidbody_179.pdb	165.01	-
90	rigidbody_61.pdb	165.14	-
91	rigidbody_100.pdb	165.55	-
92	rigidbody_169.pdb	165.67	-
93	rigidbody_77.pdb	165.80	-
94	rigidbody_69.pdb	166.57	-
95	rigidbody_116.pdb	167.63	-
