rank	model_name	score	cluster_id
1	rigidbody_119.pdb	127.40	-
2	rigidbody_107.pdb	132.56	-
3	rigidbody_43.pdb	132.85	-
4	rigidbody_61.pdb	134.26	-
5	rigidbody_124.pdb	139.72	-
6	rigidbody_62.pdb	140.18	-
7	rigidbody_125.pdb	140.28	-
8	rigidbody_68.pdb	140.66	-
9	rigidbody_185.pdb	141.32	-
10	rigidbody_177.pdb	141.53	-
11	rigidbody_161.pdb	144.19	-
12	rigidbody_141.pdb	144.29	-
13	rigidbody_170.pdb	144.50	-
14	rigidbody_151.pdb	146.16	-
15	rigidbody_164.pdb	146.49	-
16	rigidbody_126.pdb	147.35	-
17	rigidbody_148.pdb	147.60	-
18	rigidbody_69.pdb	149.44	-
19	rigidbody_157.pdb	149.88	-
20	rigidbody_47.pdb	151.24	-
21	rigidbody_36.pdb	153.36	-
22	rigidbody_40.pdb	154.34	-
23	rigidbody_142.pdb	154.50	1
24	rigidbody_8.pdb	154.51	-
25	rigidbody_99.pdb	154.67	-
26	rigidbody_57.pdb	155.50	-
27	rigidbody_26.pdb	155.58	-
28	rigidbody_128.pdb	156.88	-
29	rigidbody_111.pdb	157.00	-
30	rigidbody_9.pdb	157.70	-
31	rigidbody_136.pdb	158.09	-
32	rigidbody_167.pdb	158.39	-
33	rigidbody_105.pdb	159.63	-
34	rigidbody_133.pdb	160.34	-
35	rigidbody_104.pdb	160.60	-
36	rigidbody_190.pdb	160.62	-
37	rigidbody_134.pdb	160.69	-
38	rigidbody_158.pdb	160.80	-
39	rigidbody_46.pdb	161.72	-
40	rigidbody_85.pdb	162.08	-
41	rigidbody_80.pdb	162.47	-
42	rigidbody_13.pdb	162.50	-
43	rigidbody_19.pdb	163.00	-
44	rigidbody_33.pdb	163.07	1
45	rigidbody_2.pdb	165.36	-
46	rigidbody_79.pdb	166.38	-
47	rigidbody_175.pdb	166.58	-
48	rigidbody_94.pdb	167.05	-
49	rigidbody_49.pdb	167.23	-
50	rigidbody_5.pdb	169.13	-
51	rigidbody_117.pdb	169.14	-
52	rigidbody_101.pdb	169.20	-
53	rigidbody_11.pdb	169.34	-
54	rigidbody_84.pdb	169.35	-
55	rigidbody_154.pdb	170.24	-
56	rigidbody_200.pdb	170.27	-
57	rigidbody_145.pdb	170.36	-
58	rigidbody_129.pdb	170.56	-
59	rigidbody_41.pdb	171.12	-
60	rigidbody_35.pdb	171.42	-
61	rigidbody_66.pdb	171.51	-
62	rigidbody_176.pdb	171.98	-
63	rigidbody_109.pdb	172.07	-
64	rigidbody_183.pdb	172.58	-
65	rigidbody_180.pdb	172.63	-
66	rigidbody_31.pdb	172.66	-
67	rigidbody_160.pdb	173.19	-
68	rigidbody_198.pdb	173.41	-
69	rigidbody_95.pdb	173.82	-
70	rigidbody_10.pdb	174.11	-
71	rigidbody_195.pdb	174.12	-
72	rigidbody_182.pdb	174.26	-
73	rigidbody_196.pdb	174.59	-
74	rigidbody_28.pdb	174.96	-
75	rigidbody_115.pdb	175.41	-
76	rigidbody_72.pdb	175.73	-
77	rigidbody_45.pdb	177.54	-
78	rigidbody_140.pdb	177.72	-
79	rigidbody_59.pdb	177.89	-
80	rigidbody_87.pdb	178.59	-
81	rigidbody_4.pdb	178.67	1
82	rigidbody_23.pdb	178.77	-
83	rigidbody_192.pdb	179.02	-
84	rigidbody_63.pdb	179.09	-
85	rigidbody_159.pdb	179.31	-
86	rigidbody_1.pdb	179.42	-
87	rigidbody_193.pdb	179.72	-
88	rigidbody_37.pdb	179.88	-
89	rigidbody_16.pdb	179.98	-
90	rigidbody_64.pdb	180.44	-
91	rigidbody_83.pdb	180.62	-
92	rigidbody_60.pdb	180.68	-
93	rigidbody_91.pdb	181.60	-
94	rigidbody_50.pdb	181.82	-
95	rigidbody_97.pdb	182.59	-
96	rigidbody_70.pdb	182.71	-
97	rigidbody_188.pdb	182.86	-
98	rigidbody_3.pdb	183.16	-
99	rigidbody_48.pdb	183.24	-
100	rigidbody_152.pdb	183.74	-
101	rigidbody_122.pdb	184.16	-
102	rigidbody_197.pdb	184.54	-
103	rigidbody_116.pdb	184.71	-
104	rigidbody_53.pdb	185.30	-
105	rigidbody_81.pdb	185.81	-
106	rigidbody_75.pdb	186.25	-
107	rigidbody_147.pdb	186.47	-
108	rigidbody_118.pdb	186.81	-
109	rigidbody_15.pdb	187.13	-
110	rigidbody_86.pdb	187.15	1
111	rigidbody_90.pdb	188.49	-
112	rigidbody_121.pdb	188.50	-
113	rigidbody_156.pdb	188.52	-
114	rigidbody_181.pdb	188.58	-
115	rigidbody_30.pdb	189.54	-
116	rigidbody_194.pdb	189.68	1
117	rigidbody_171.pdb	189.81	1
118	rigidbody_76.pdb	190.47	-
119	rigidbody_100.pdb	190.88	-
120	rigidbody_173.pdb	190.93	-
121	rigidbody_172.pdb	191.14	-
122	rigidbody_56.pdb	191.27	-
123	rigidbody_20.pdb	191.33	-
124	rigidbody_144.pdb	191.41	-
125	rigidbody_44.pdb	191.60	-
126	rigidbody_179.pdb	191.81	-
127	rigidbody_113.pdb	191.90	-
128	rigidbody_14.pdb	192.71	-
129	rigidbody_108.pdb	192.94	-
130	rigidbody_92.pdb	193.21	-
131	rigidbody_165.pdb	193.36	-
132	rigidbody_6.pdb	193.52	-
133	rigidbody_29.pdb	193.85	-
134	rigidbody_102.pdb	194.50	-
135	rigidbody_51.pdb	195.29	-
136	rigidbody_24.pdb	196.02	1
137	rigidbody_42.pdb	196.44	1
138	rigidbody_186.pdb	196.59	-
139	rigidbody_127.pdb	196.78	-
140	rigidbody_166.pdb	196.94	-
141	rigidbody_17.pdb	197.12	-
142	rigidbody_18.pdb	197.25	1
143	rigidbody_135.pdb	198.61	-
144	rigidbody_189.pdb	198.71	1
145	rigidbody_21.pdb	199.35	-
146	rigidbody_131.pdb	199.46	-
147	rigidbody_65.pdb	199.54	-
148	rigidbody_103.pdb	199.88	-
149	rigidbody_82.pdb	199.98	-
150	rigidbody_38.pdb	200.76	-
151	rigidbody_184.pdb	200.80	-
152	rigidbody_7.pdb	201.81	-
153	rigidbody_88.pdb	201.84	-
154	rigidbody_22.pdb	202.60	-
155	rigidbody_89.pdb	204.04	-
156	rigidbody_96.pdb	204.34	-
157	rigidbody_34.pdb	205.28	-
158	rigidbody_168.pdb	205.37	-
159	rigidbody_93.pdb	205.73	-
160	rigidbody_106.pdb	205.90	-
161	rigidbody_27.pdb	206.22	-
162	rigidbody_150.pdb	206.30	-
163	rigidbody_132.pdb	206.72	-
164	rigidbody_178.pdb	206.78	1
165	rigidbody_123.pdb	206.89	-
166	rigidbody_77.pdb	207.56	-
167	rigidbody_112.pdb	208.69	-
168	rigidbody_137.pdb	209.86	-
169	rigidbody_120.pdb	209.89	-
170	rigidbody_58.pdb	210.01	-
171	rigidbody_162.pdb	210.83	-
172	rigidbody_78.pdb	211.62	-
173	rigidbody_191.pdb	212.46	-
174	rigidbody_71.pdb	212.87	1
175	rigidbody_54.pdb	213.19	1
176	rigidbody_73.pdb	213.75	-
177	rigidbody_149.pdb	217.55	-
178	rigidbody_169.pdb	217.77	-
179	rigidbody_187.pdb	218.72	-
180	rigidbody_25.pdb	219.61	-
181	rigidbody_143.pdb	220.23	-
182	rigidbody_67.pdb	222.10	-
183	rigidbody_12.pdb	224.21	-
184	rigidbody_153.pdb	226.14	-
185	rigidbody_110.pdb	226.54	-
186	rigidbody_55.pdb	226.82	-
187	rigidbody_174.pdb	227.06	1
188	rigidbody_163.pdb	227.12	-
189	rigidbody_155.pdb	229.28	1
190	rigidbody_139.pdb	229.60	-
191	rigidbody_138.pdb	230.02	-
192	rigidbody_114.pdb	232.36	-
193	rigidbody_52.pdb	233.08	-
194	rigidbody_98.pdb	241.30	-
195	rigidbody_39.pdb	243.16	1
196	rigidbody_199.pdb	245.45	-
197	rigidbody_32.pdb	249.92	-
198	rigidbody_130.pdb	254.65	-
199	rigidbody_146.pdb	256.54	-
