rank	model_name	score	cluster_id
1	rigidbody_47.pdb	121.78	-
2	rigidbody_9.pdb	127.14	-
3	rigidbody_148.pdb	130.01	-
4	rigidbody_43.pdb	134.14	-
5	rigidbody_182.pdb	138.92	-
6	rigidbody_128.pdb	142.44	-
7	rigidbody_65.pdb	142.60	-
8	rigidbody_163.pdb	143.35	-
9	rigidbody_170.pdb	148.91	-
10	rigidbody_14.pdb	149.08	-
11	rigidbody_58.pdb	149.46	-
12	rigidbody_95.pdb	153.55	-
13	rigidbody_99.pdb	154.84	-
14	rigidbody_197.pdb	155.07	1
15	rigidbody_111.pdb	155.13	-
16	rigidbody_19.pdb	155.62	-
17	rigidbody_31.pdb	155.92	-
18	rigidbody_149.pdb	155.92	-
19	rigidbody_129.pdb	157.04	-
20	rigidbody_30.pdb	158.52	-
21	rigidbody_115.pdb	158.86	-
22	rigidbody_134.pdb	160.82	-
23	rigidbody_119.pdb	161.08	-
24	rigidbody_37.pdb	162.46	-
25	rigidbody_113.pdb	162.56	-
26	rigidbody_28.pdb	164.16	-
27	rigidbody_194.pdb	164.38	-
28	rigidbody_121.pdb	165.91	-
29	rigidbody_164.pdb	166.17	-
30	rigidbody_181.pdb	167.64	-
31	rigidbody_145.pdb	168.02	-
32	rigidbody_160.pdb	168.16	-
33	rigidbody_82.pdb	168.54	-
34	rigidbody_77.pdb	168.79	-
35	rigidbody_42.pdb	169.40	-
36	rigidbody_83.pdb	170.19	-
37	rigidbody_167.pdb	170.25	-
38	rigidbody_94.pdb	170.61	-
39	rigidbody_165.pdb	171.09	-
40	rigidbody_53.pdb	172.47	-
41	rigidbody_11.pdb	172.48	1
42	rigidbody_69.pdb	173.60	-
43	rigidbody_1.pdb	173.67	-
44	rigidbody_85.pdb	174.07	-
45	rigidbody_175.pdb	175.64	-
46	rigidbody_102.pdb	177.19	-
47	rigidbody_142.pdb	177.30	-
48	rigidbody_144.pdb	177.44	-
49	rigidbody_87.pdb	177.66	-
50	rigidbody_157.pdb	178.26	-
51	rigidbody_195.pdb	178.32	-
52	rigidbody_60.pdb	179.26	-
53	rigidbody_158.pdb	179.54	-
54	rigidbody_91.pdb	180.84	-
55	rigidbody_123.pdb	180.98	-
56	rigidbody_16.pdb	181.32	-
57	rigidbody_185.pdb	181.60	-
58	rigidbody_3.pdb	181.81	-
59	rigidbody_169.pdb	182.74	-
60	rigidbody_153.pdb	182.92	-
61	rigidbody_140.pdb	183.26	1
62	rigidbody_39.pdb	184.05	-
63	rigidbody_33.pdb	184.07	-
64	rigidbody_40.pdb	184.27	-
65	rigidbody_22.pdb	184.42	1
66	rigidbody_109.pdb	184.86	-
67	rigidbody_79.pdb	185.24	-
68	rigidbody_92.pdb	185.50	-
69	rigidbody_107.pdb	185.53	-
70	rigidbody_180.pdb	186.09	-
71	rigidbody_161.pdb	186.20	-
72	rigidbody_188.pdb	186.38	-
73	rigidbody_196.pdb	186.81	-
74	rigidbody_177.pdb	186.86	-
75	rigidbody_23.pdb	188.42	-
76	rigidbody_152.pdb	188.78	-
77	rigidbody_32.pdb	188.97	-
78	rigidbody_66.pdb	189.32	-
79	rigidbody_138.pdb	190.57	-
80	rigidbody_59.pdb	190.66	-
81	rigidbody_166.pdb	190.86	-
82	rigidbody_137.pdb	192.10	-
83	rigidbody_38.pdb	192.18	-
84	rigidbody_114.pdb	192.64	-
85	rigidbody_198.pdb	193.13	-
86	rigidbody_8.pdb	193.16	-
87	rigidbody_56.pdb	193.19	-
88	rigidbody_190.pdb	193.32	-
89	rigidbody_27.pdb	193.93	-
90	rigidbody_192.pdb	195.11	-
