rank	model_name	score	cluster_id
1	rigidbody_13.pdb	123.50	1
2	rigidbody_109.pdb	143.12	-
3	rigidbody_85.pdb	143.40	-
4	rigidbody_8.pdb	144.32	-
5	rigidbody_66.pdb	144.80	-
6	rigidbody_11.pdb	144.88	1
7	rigidbody_37.pdb	145.71	-
8	rigidbody_161.pdb	146.07	-
9	rigidbody_91.pdb	149.53	-
10	rigidbody_43.pdb	152.53	-
11	rigidbody_177.pdb	153.21	-
12	rigidbody_124.pdb	154.16	-
13	rigidbody_51.pdb	155.23	-
14	rigidbody_88.pdb	155.46	-
15	rigidbody_9.pdb	155.87	-
16	rigidbody_160.pdb	156.46	-
17	rigidbody_33.pdb	157.47	-
18	rigidbody_197.pdb	160.56	-
19	rigidbody_157.pdb	160.68	-
20	rigidbody_136.pdb	161.28	-
21	rigidbody_89.pdb	161.95	-
22	rigidbody_76.pdb	162.08	-
23	rigidbody_19.pdb	163.08	-
24	rigidbody_119.pdb	163.34	-
25	rigidbody_140.pdb	163.85	-
26	rigidbody_164.pdb	163.94	-
27	rigidbody_54.pdb	164.67	-
28	rigidbody_126.pdb	167.09	-
29	rigidbody_95.pdb	167.83	-
30	rigidbody_167.pdb	167.95	-
31	rigidbody_62.pdb	168.63	-
32	rigidbody_7.pdb	168.98	1
33	rigidbody_35.pdb	169.70	-
34	rigidbody_200.pdb	170.38	-
35	rigidbody_148.pdb	171.38	-
36	rigidbody_198.pdb	171.72	-
37	rigidbody_134.pdb	172.27	-
38	rigidbody_159.pdb	172.41	-
39	rigidbody_172.pdb	172.84	-
40	rigidbody_77.pdb	172.92	-
41	rigidbody_142.pdb	173.97	-
42	rigidbody_60.pdb	174.44	-
43	rigidbody_79.pdb	174.74	-
44	rigidbody_129.pdb	174.78	-
45	rigidbody_194.pdb	174.81	-
46	rigidbody_169.pdb	175.47	-
47	rigidbody_170.pdb	175.88	-
48	rigidbody_2.pdb	175.97	-
49	rigidbody_80.pdb	176.43	-
50	rigidbody_69.pdb	177.26	-
51	rigidbody_61.pdb	178.01	-
52	rigidbody_24.pdb	178.48	-
53	rigidbody_26.pdb	178.70	-
54	rigidbody_25.pdb	178.75	-
55	rigidbody_31.pdb	178.99	-
56	rigidbody_78.pdb	180.17	-
57	rigidbody_97.pdb	180.90	-
58	rigidbody_53.pdb	180.95	-
59	rigidbody_59.pdb	181.06	-
60	rigidbody_94.pdb	181.15	-
61	rigidbody_112.pdb	181.36	1
62	rigidbody_111.pdb	181.61	-
63	rigidbody_185.pdb	181.67	1
64	rigidbody_105.pdb	182.17	-
65	rigidbody_107.pdb	183.45	-
66	rigidbody_137.pdb	183.47	-
67	rigidbody_15.pdb	183.84	-
68	rigidbody_158.pdb	184.95	-
69	rigidbody_48.pdb	185.10	-
70	rigidbody_68.pdb	186.29	-
71	rigidbody_65.pdb	187.09	-
72	rigidbody_47.pdb	187.56	1
73	rigidbody_81.pdb	187.85	-
74	rigidbody_99.pdb	188.34	-
75	rigidbody_188.pdb	188.66	-
76	rigidbody_50.pdb	188.75	-
77	rigidbody_46.pdb	189.38	-
78	rigidbody_3.pdb	190.75	-
79	rigidbody_42.pdb	191.09	-
80	rigidbody_57.pdb	191.23	-
81	rigidbody_102.pdb	191.45	-
82	rigidbody_30.pdb	192.01	-
83	rigidbody_12.pdb	193.36	-
84	rigidbody_183.pdb	193.67	-
85	rigidbody_192.pdb	193.71	-
86	rigidbody_190.pdb	193.75	-
87	rigidbody_87.pdb	194.65	-
88	rigidbody_56.pdb	195.03	-
89	rigidbody_5.pdb	195.86	-
90	rigidbody_1.pdb	196.03	-
91	rigidbody_45.pdb	196.18	-
92	rigidbody_93.pdb	196.48	-
93	rigidbody_29.pdb	197.34	-
94	rigidbody_166.pdb	197.73	-
95	rigidbody_141.pdb	197.78	-
96	rigidbody_64.pdb	197.79	1
97	rigidbody_189.pdb	198.04	-
98	rigidbody_18.pdb	198.27	-
99	rigidbody_71.pdb	198.54	-
100	rigidbody_101.pdb	198.54	-
101	rigidbody_4.pdb	198.57	-
102	rigidbody_104.pdb	198.98	-
103	rigidbody_128.pdb	199.14	-
104	rigidbody_73.pdb	199.16	-
105	rigidbody_27.pdb	199.21	-
106	rigidbody_40.pdb	200.09	-
107	rigidbody_70.pdb	200.17	-
108	rigidbody_147.pdb	200.26	-
109	rigidbody_125.pdb	200.45	-
110	rigidbody_154.pdb	201.00	-
111	rigidbody_156.pdb	201.24	-
112	rigidbody_20.pdb	201.77	1
113	rigidbody_151.pdb	202.39	-
114	rigidbody_96.pdb	202.45	-
115	rigidbody_106.pdb	202.84	-
116	rigidbody_14.pdb	203.75	-
117	rigidbody_163.pdb	204.02	-
118	rigidbody_16.pdb	204.08	-
119	rigidbody_130.pdb	204.46	-
120	rigidbody_72.pdb	204.72	-
121	rigidbody_131.pdb	206.89	-
122	rigidbody_171.pdb	207.29	-
123	rigidbody_83.pdb	208.29	-
124	rigidbody_100.pdb	208.38	-
125	rigidbody_90.pdb	208.64	-
126	rigidbody_122.pdb	209.71	-
127	rigidbody_168.pdb	210.65	-
128	rigidbody_199.pdb	210.70	-
129	rigidbody_153.pdb	211.27	-
130	rigidbody_113.pdb	211.33	-
131	rigidbody_82.pdb	211.55	-
132	rigidbody_123.pdb	212.01	-
133	rigidbody_132.pdb	212.28	-
134	rigidbody_152.pdb	213.26	-
135	rigidbody_127.pdb	213.31	-
136	rigidbody_75.pdb	213.38	-
137	rigidbody_149.pdb	213.39	-
138	rigidbody_180.pdb	213.39	-
139	rigidbody_115.pdb	213.66	-
140	rigidbody_58.pdb	213.88	-
141	rigidbody_120.pdb	214.71	-
142	rigidbody_10.pdb	215.66	-
143	rigidbody_144.pdb	215.85	-
144	rigidbody_173.pdb	216.16	-
145	rigidbody_63.pdb	216.27	-
146	rigidbody_196.pdb	216.44	-
147	rigidbody_6.pdb	217.70	-
148	rigidbody_38.pdb	217.96	-
149	rigidbody_34.pdb	218.03	-
150	rigidbody_174.pdb	218.38	-
151	rigidbody_145.pdb	218.50	-
152	rigidbody_195.pdb	218.68	-
153	rigidbody_92.pdb	219.46	-
154	rigidbody_133.pdb	220.63	-
155	rigidbody_175.pdb	221.46	-
156	rigidbody_21.pdb	222.86	-
157	rigidbody_114.pdb	222.86	-
158	rigidbody_49.pdb	223.10	-
159	rigidbody_22.pdb	223.14	-
160	rigidbody_182.pdb	223.29	-
161	rigidbody_143.pdb	223.33	-
162	rigidbody_74.pdb	223.85	-
163	rigidbody_36.pdb	224.64	-
164	rigidbody_193.pdb	225.50	-
165	rigidbody_138.pdb	225.85	-
166	rigidbody_176.pdb	226.22	-
167	rigidbody_52.pdb	228.41	-
168	rigidbody_98.pdb	228.51	-
169	rigidbody_191.pdb	228.68	-
170	rigidbody_118.pdb	229.01	-
171	rigidbody_17.pdb	229.59	-
172	rigidbody_41.pdb	230.42	-
173	rigidbody_116.pdb	230.86	-
174	rigidbody_55.pdb	231.05	-
175	rigidbody_135.pdb	231.14	-
176	rigidbody_179.pdb	231.22	-
177	rigidbody_181.pdb	232.33	-
178	rigidbody_187.pdb	232.67	-
179	rigidbody_150.pdb	232.89	-
180	rigidbody_117.pdb	233.82	-
181	rigidbody_44.pdb	237.21	-
182	rigidbody_178.pdb	237.55	-
183	rigidbody_165.pdb	239.29	-
184	rigidbody_186.pdb	240.63	-
185	rigidbody_155.pdb	247.29	-
186	rigidbody_162.pdb	247.63	-
187	rigidbody_32.pdb	247.66	-
188	rigidbody_86.pdb	250.34	-
189	rigidbody_146.pdb	250.70	-
190	rigidbody_121.pdb	254.19	-
191	rigidbody_103.pdb	254.38	-
192	rigidbody_110.pdb	255.75	-
193	rigidbody_28.pdb	256.98	-
194	rigidbody_139.pdb	257.51	-
195	rigidbody_184.pdb	259.00	-
196	rigidbody_108.pdb	268.79	-
197	rigidbody_84.pdb	273.71	-
198	rigidbody_39.pdb	279.83	-
199	rigidbody_23.pdb	281.69	-
200	rigidbody_67.pdb	291.32	-

