rank	model_name	score	cluster_id
1	rigidbody_8.pdb	134.72	-
2	rigidbody_43.pdb	141.79	-
3	rigidbody_62.pdb	147.16	-
4	rigidbody_9.pdb	149.78	-
5	rigidbody_13.pdb	153.14	-
6	rigidbody_164.pdb	164.16	-
7	rigidbody_142.pdb	164.56	-
8	rigidbody_159.pdb	169.94	-
9	rigidbody_124.pdb	170.63	-
10	rigidbody_40.pdb	171.58	-
11	rigidbody_49.pdb	171.88	-
12	rigidbody_91.pdb	172.78	-
13	rigidbody_47.pdb	174.94	-
14	rigidbody_84.pdb	177.08	-
15	rigidbody_37.pdb	179.23	-
16	rigidbody_165.pdb	180.16	-
17	rigidbody_132.pdb	181.16	-
18	rigidbody_33.pdb	181.50	-
19	rigidbody_31.pdb	181.85	-
20	rigidbody_65.pdb	183.60	-
21	rigidbody_66.pdb	184.24	-
22	rigidbody_119.pdb	185.11	-
23	rigidbody_160.pdb	185.15	-
24	rigidbody_79.pdb	187.24	-
25	rigidbody_7.pdb	187.85	-
26	rigidbody_134.pdb	188.62	-
27	rigidbody_14.pdb	188.70	-
28	rigidbody_129.pdb	188.72	-
29	rigidbody_63.pdb	189.01	-
30	rigidbody_54.pdb	191.12	-
31	rigidbody_113.pdb	192.01	-
32	rigidbody_88.pdb	192.10	-
33	rigidbody_85.pdb	192.41	-
34	rigidbody_53.pdb	193.39	-
35	rigidbody_60.pdb	193.43	-
36	rigidbody_167.pdb	193.48	-
37	rigidbody_177.pdb	193.49	-
38	rigidbody_48.pdb	193.88	-
39	rigidbody_95.pdb	194.66	-
40	rigidbody_157.pdb	195.22	-
41	rigidbody_11.pdb	195.76	-
42	rigidbody_28.pdb	196.12	-
43	rigidbody_97.pdb	197.55	-
44	rigidbody_154.pdb	198.33	-
45	rigidbody_112.pdb	199.15	-
46	rigidbody_180.pdb	199.92	-
47	rigidbody_197.pdb	199.96	-
48	rigidbody_122.pdb	200.09	-
49	rigidbody_118.pdb	200.16	-
50	rigidbody_148.pdb	201.30	-
51	rigidbody_72.pdb	201.63	-
52	rigidbody_133.pdb	202.40	-
53	rigidbody_158.pdb	202.48	-
54	rigidbody_105.pdb	202.87	-
55	rigidbody_50.pdb	203.00	-
56	rigidbody_57.pdb	203.51	-
57	rigidbody_193.pdb	203.71	-
58	rigidbody_131.pdb	203.73	-
59	rigidbody_152.pdb	204.02	-
60	rigidbody_68.pdb	204.41	-
61	rigidbody_183.pdb	204.56	-
62	rigidbody_175.pdb	204.60	-
63	rigidbody_35.pdb	204.70	-
64	rigidbody_147.pdb	205.18	-
65	rigidbody_171.pdb	205.75	-
66	rigidbody_19.pdb	206.48	-
67	rigidbody_123.pdb	206.53	-
68	rigidbody_144.pdb	206.54	-
69	rigidbody_16.pdb	207.00	-
70	rigidbody_36.pdb	207.86	-
71	rigidbody_138.pdb	208.54	-
72	rigidbody_2.pdb	209.34	-
73	rigidbody_153.pdb	209.74	-
74	rigidbody_189.pdb	210.14	-
75	rigidbody_46.pdb	211.01	-
76	rigidbody_78.pdb	211.26	-
77	rigidbody_22.pdb	211.48	-
78	rigidbody_45.pdb	212.22	-
79	rigidbody_94.pdb	212.46	-
80	rigidbody_126.pdb	212.85	-
81	rigidbody_107.pdb	213.07	-
82	rigidbody_172.pdb	214.44	-
83	rigidbody_5.pdb	214.55	-
84	rigidbody_200.pdb	214.79	-
85	rigidbody_196.pdb	215.10	-
86	rigidbody_184.pdb	215.11	-
87	rigidbody_190.pdb	215.14	-
