rank	model_name	score	cluster_id
1	rigidbody_8.pdb	117.35	1
2	rigidbody_13.pdb	117.47	-
3	rigidbody_66.pdb	119.76	-
4	rigidbody_62.pdb	124.48	-
5	rigidbody_124.pdb	125.64	-
6	rigidbody_43.pdb	130.53	-
7	rigidbody_200.pdb	131.66	-
8	rigidbody_4.pdb	136.05	-
9	rigidbody_88.pdb	136.28	-
10	rigidbody_59.pdb	139.42	-
11	rigidbody_71.pdb	139.89	-
12	rigidbody_134.pdb	140.88	-
13	rigidbody_47.pdb	141.46	-
14	rigidbody_9.pdb	144.88	-
15	rigidbody_34.pdb	145.05	-
16	rigidbody_30.pdb	146.22	1
17	rigidbody_128.pdb	147.20	-
18	rigidbody_129.pdb	147.61	-
19	rigidbody_165.pdb	147.84	-
20	rigidbody_91.pdb	150.87	-
21	rigidbody_197.pdb	151.11	-
22	rigidbody_119.pdb	151.24	-
23	rigidbody_159.pdb	154.02	-
24	rigidbody_111.pdb	155.76	-
25	rigidbody_36.pdb	156.34	-
26	rigidbody_140.pdb	156.68	1
27	rigidbody_57.pdb	157.04	-
28	rigidbody_172.pdb	157.72	-
29	rigidbody_85.pdb	157.98	-
30	rigidbody_103.pdb	158.68	-
31	rigidbody_177.pdb	158.93	-
32	rigidbody_158.pdb	159.81	-
33	rigidbody_37.pdb	160.19	-
34	rigidbody_193.pdb	160.37	-
35	rigidbody_33.pdb	161.44	-
36	rigidbody_184.pdb	161.47	-
37	rigidbody_152.pdb	162.23	-
38	rigidbody_99.pdb	162.37	-
39	rigidbody_25.pdb	162.47	-
40	rigidbody_147.pdb	162.86	-
41	rigidbody_26.pdb	163.46	-
42	rigidbody_188.pdb	164.52	-
43	rigidbody_183.pdb	165.00	1
44	rigidbody_5.pdb	165.98	-
45	rigidbody_19.pdb	166.63	-
46	rigidbody_190.pdb	166.67	-
47	rigidbody_170.pdb	166.77	-
48	rigidbody_72.pdb	167.86	1
49	rigidbody_148.pdb	168.10	-
50	rigidbody_46.pdb	169.56	-
51	rigidbody_169.pdb	170.13	-
52	rigidbody_185.pdb	170.34	-
53	rigidbody_2.pdb	171.53	-
54	rigidbody_50.pdb	171.65	-
55	rigidbody_97.pdb	171.98	-
56	rigidbody_161.pdb	172.29	-
57	rigidbody_101.pdb	172.37	-
58	rigidbody_12.pdb	172.61	-
59	rigidbody_164.pdb	172.86	-
60	rigidbody_86.pdb	173.00	-
61	rigidbody_102.pdb	173.04	-
62	rigidbody_122.pdb	173.24	-
63	rigidbody_44.pdb	173.64	-
64	rigidbody_81.pdb	173.66	-
65	rigidbody_76.pdb	173.96	-
66	rigidbody_180.pdb	174.39	-
67	rigidbody_64.pdb	175.88	-
68	rigidbody_15.pdb	176.56	-
69	rigidbody_1.pdb	176.90	-
70	rigidbody_17.pdb	177.37	-
71	rigidbody_20.pdb	178.50	-
72	rigidbody_53.pdb	178.58	-
73	rigidbody_166.pdb	178.74	-
74	rigidbody_125.pdb	178.95	-
75	rigidbody_126.pdb	179.75	-
76	rigidbody_54.pdb	179.95	-
77	rigidbody_116.pdb	180.68	-
78	rigidbody_78.pdb	180.70	-
79	rigidbody_153.pdb	180.81	-
80	rigidbody_127.pdb	181.01	-
81	rigidbody_16.pdb	181.55	-
82	rigidbody_79.pdb	181.61	-
83	rigidbody_106.pdb	181.72	-
84	rigidbody_196.pdb	181.76	-
85	rigidbody_160.pdb	183.47	-
86	rigidbody_40.pdb	183.59	-
87	rigidbody_178.pdb	183.64	-
88	rigidbody_11.pdb	183.95	-
89	rigidbody_181.pdb	184.28	-
90	rigidbody_154.pdb	184.37	-
91	rigidbody_24.pdb	185.17	-
92	rigidbody_194.pdb	185.27	-
93	rigidbody_45.pdb	185.52	-
94	rigidbody_68.pdb	185.60	-
95	rigidbody_142.pdb	185.68	-
96	rigidbody_145.pdb	185.91	-
97	rigidbody_144.pdb	186.02	-
98	rigidbody_95.pdb	186.16	-
99	rigidbody_51.pdb	186.36	-
100	rigidbody_100.pdb	186.78	-
101	rigidbody_109.pdb	187.36	-
102	rigidbody_70.pdb	187.90	-
103	rigidbody_163.pdb	188.30	-
104	rigidbody_189.pdb	188.36	-
105	rigidbody_136.pdb	188.43	-
106	rigidbody_41.pdb	188.44	-
107	rigidbody_29.pdb	188.90	-
108	rigidbody_105.pdb	190.80	-
109	rigidbody_157.pdb	191.38	-
110	rigidbody_115.pdb	191.83	-
111	rigidbody_114.pdb	192.17	-
112	rigidbody_138.pdb	192.89	-
113	rigidbody_132.pdb	193.12	-
114	rigidbody_63.pdb	193.83	-
115	rigidbody_175.pdb	193.91	-
116	rigidbody_137.pdb	194.03	-
117	rigidbody_61.pdb	194.16	-
118	rigidbody_49.pdb	195.61	-
119	rigidbody_77.pdb	195.88	-
120	rigidbody_48.pdb	196.07	-
121	rigidbody_94.pdb	196.30	-
122	rigidbody_69.pdb	196.41	-
123	rigidbody_58.pdb	197.89	-
124	rigidbody_168.pdb	198.35	-
125	rigidbody_117.pdb	198.35	-
126	rigidbody_139.pdb	199.18	-
127	rigidbody_192.pdb	199.41	-
128	rigidbody_32.pdb	200.41	-
129	rigidbody_18.pdb	200.50	-
130	rigidbody_21.pdb	200.84	-
131	rigidbody_113.pdb	200.85	-
132	rigidbody_173.pdb	201.00	-
133	rigidbody_195.pdb	201.19	-
134	rigidbody_65.pdb	202.80	-
135	rigidbody_96.pdb	202.93	-
136	rigidbody_89.pdb	205.95	-
137	rigidbody_104.pdb	206.32	-
138	rigidbody_80.pdb	206.96	-
139	rigidbody_82.pdb	208.31	-
