rank	model_name	score	cluster_id
1	rigidbody_129.pdb	93.62	-
2	rigidbody_66.pdb	95.35	1
3	rigidbody_9.pdb	99.04	-
4	rigidbody_56.pdb	101.62	-
5	rigidbody_51.pdb	106.38	-
6	rigidbody_137.pdb	106.88	-
7	rigidbody_134.pdb	110.00	-
8	rigidbody_8.pdb	111.63	-
9	rigidbody_43.pdb	111.68	1
10	rigidbody_16.pdb	113.69	-
11	rigidbody_1.pdb	116.66	-
12	rigidbody_40.pdb	117.35	-
13	rigidbody_111.pdb	118.19	-
14	rigidbody_166.pdb	118.68	1
15	rigidbody_26.pdb	119.92	-
16	rigidbody_107.pdb	120.50	-
17	rigidbody_175.pdb	120.99	-
18	rigidbody_76.pdb	121.01	-
19	rigidbody_172.pdb	121.12	-
20	rigidbody_79.pdb	122.03	-
21	rigidbody_53.pdb	122.40	1
22	rigidbody_200.pdb	122.42	-
23	rigidbody_94.pdb	123.04	-
24	rigidbody_46.pdb	124.52	-
25	rigidbody_33.pdb	124.78	-
26	rigidbody_64.pdb	124.93	-
27	rigidbody_160.pdb	125.84	-
28	rigidbody_69.pdb	126.23	-
29	rigidbody_124.pdb	126.24	-
30	rigidbody_197.pdb	126.54	-
31	rigidbody_106.pdb	126.99	-
32	rigidbody_61.pdb	128.50	-
33	rigidbody_99.pdb	128.57	-
34	rigidbody_84.pdb	129.03	-
35	rigidbody_119.pdb	129.23	-
36	rigidbody_174.pdb	130.52	-
37	rigidbody_44.pdb	130.75	-
38	rigidbody_57.pdb	130.95	-
39	rigidbody_13.pdb	132.21	-
40	rigidbody_182.pdb	132.54	1
41	rigidbody_89.pdb	132.61	-
42	rigidbody_101.pdb	132.94	-
43	rigidbody_77.pdb	133.09	-
44	rigidbody_88.pdb	133.10	-
45	rigidbody_150.pdb	133.24	-
46	rigidbody_12.pdb	133.86	-
47	rigidbody_114.pdb	133.96	-
48	rigidbody_190.pdb	134.43	-
49	rigidbody_185.pdb	134.87	-
50	rigidbody_153.pdb	134.89	-
51	rigidbody_164.pdb	135.59	-
52	rigidbody_24.pdb	135.72	-
53	rigidbody_42.pdb	135.89	1
54	rigidbody_47.pdb	136.26	-
55	rigidbody_180.pdb	136.42	-
56	rigidbody_2.pdb	136.99	-
57	rigidbody_82.pdb	137.39	-
58	rigidbody_156.pdb	137.53	-
59	rigidbody_22.pdb	137.78	-
60	rigidbody_59.pdb	137.93	-
61	rigidbody_177.pdb	137.98	-
62	rigidbody_102.pdb	138.81	-
63	rigidbody_14.pdb	139.24	1
64	rigidbody_167.pdb	139.51	-
65	rigidbody_72.pdb	140.30	-
66	rigidbody_149.pdb	140.70	-
67	rigidbody_193.pdb	140.74	-
68	rigidbody_45.pdb	141.17	-
69	rigidbody_71.pdb	141.39	-
70	rigidbody_19.pdb	141.88	-
71	rigidbody_135.pdb	141.88	-
72	rigidbody_87.pdb	141.98	-
73	rigidbody_65.pdb	143.44	-
74	rigidbody_35.pdb	143.59	-
75	rigidbody_117.pdb	143.67	-
76	rigidbody_131.pdb	143.69	-
77	rigidbody_161.pdb	143.94	-
78	rigidbody_68.pdb	143.96	-
79	rigidbody_86.pdb	144.73	-
80	rigidbody_31.pdb	144.91	-
81	rigidbody_18.pdb	145.27	-
82	rigidbody_199.pdb	145.48	-
83	rigidbody_97.pdb	145.64	-
84	rigidbody_138.pdb	145.74	-
85	rigidbody_25.pdb	146.36	-
86	rigidbody_144.pdb	146.52	-
87	rigidbody_198.pdb	147.89	-
88	rigidbody_3.pdb	148.29	-
89	rigidbody_62.pdb	149.67	-
90	rigidbody_120.pdb	150.09	-
91	rigidbody_127.pdb	150.43	-
92	rigidbody_48.pdb	150.51	-
93	rigidbody_4.pdb	150.59	-
94	rigidbody_95.pdb	150.92	-
95	rigidbody_125.pdb	151.08	-
96	rigidbody_80.pdb	151.41	-
97	rigidbody_176.pdb	151.42	1
98	rigidbody_147.pdb	151.54	-
99	rigidbody_41.pdb	151.55	-
100	rigidbody_49.pdb	151.62	-
101	rigidbody_189.pdb	151.66	-
102	rigidbody_195.pdb	152.11	-
103	rigidbody_196.pdb	152.21	-
104	rigidbody_7.pdb	153.11	-
105	rigidbody_60.pdb	153.44	-
106	rigidbody_75.pdb	153.44	-
107	rigidbody_159.pdb	153.49	-
108	rigidbody_178.pdb	154.83	-
109	rigidbody_181.pdb	154.94	-
110	rigidbody_21.pdb	155.31	-
111	rigidbody_116.pdb	155.74	-
112	rigidbody_186.pdb	155.82	-
113	rigidbody_169.pdb	156.32	-
114	rigidbody_141.pdb	157.17	-
115	rigidbody_122.pdb	157.24	-
116	rigidbody_157.pdb	157.38	-
117	rigidbody_173.pdb	157.45	-
118	rigidbody_104.pdb	157.48	-
119	rigidbody_168.pdb	157.68	-
120	rigidbody_91.pdb	157.92	-
121	rigidbody_83.pdb	158.60	-
122	rigidbody_184.pdb	159.94	-
123	rigidbody_194.pdb	160.08	-
124	rigidbody_54.pdb	160.87	-
125	rigidbody_39.pdb	161.13	-
126	rigidbody_132.pdb	161.41	-
127	rigidbody_30.pdb	161.49	-
128	rigidbody_140.pdb	161.52	-
129	rigidbody_165.pdb	162.04	-
130	rigidbody_143.pdb	162.57	-
131	rigidbody_103.pdb	163.46	-
132	rigidbody_50.pdb	163.47	-
133	rigidbody_145.pdb	163.73	-
134	rigidbody_105.pdb	163.81	-
135	rigidbody_121.pdb	164.26	-
136	rigidbody_152.pdb	164.27	-
137	rigidbody_37.pdb	165.32	-
138	rigidbody_158.pdb	166.74	-
139	rigidbody_92.pdb	167.68	-
140	rigidbody_100.pdb	167.82	-
141	rigidbody_162.pdb	167.85	-
142	rigidbody_112.pdb	168.53	-
