rank	model_name	score	cluster_id
1	rigidbody_95.pdb	142.59	-
2	rigidbody_69.pdb	143.16	-
3	rigidbody_160.pdb	144.47	1
4	rigidbody_13.pdb	146.94	-
5	rigidbody_200.pdb	146.94	-
6	rigidbody_89.pdb	148.04	-
7	rigidbody_107.pdb	153.14	1
8	rigidbody_197.pdb	153.51	-
9	rigidbody_124.pdb	153.95	-
10	rigidbody_132.pdb	156.64	-
11	rigidbody_9.pdb	157.12	-
12	rigidbody_33.pdb	157.75	-
13	rigidbody_43.pdb	158.63	-
14	rigidbody_115.pdb	159.92	-
15	rigidbody_63.pdb	160.03	-
16	rigidbody_16.pdb	160.29	-
17	rigidbody_11.pdb	160.55	-
18	rigidbody_159.pdb	162.09	-
19	rigidbody_180.pdb	163.68	1
20	rigidbody_66.pdb	165.68	-
21	rigidbody_42.pdb	166.15	-
22	rigidbody_198.pdb	166.56	-
23	rigidbody_128.pdb	168.47	-
24	rigidbody_170.pdb	169.02	-
25	rigidbody_154.pdb	169.07	1
26	rigidbody_92.pdb	170.51	-
27	rigidbody_195.pdb	170.99	-
28	rigidbody_99.pdb	171.18	-
29	rigidbody_194.pdb	171.33	-
30	rigidbody_2.pdb	171.48	-
31	rigidbody_161.pdb	171.98	-
32	rigidbody_126.pdb	172.71	-
33	rigidbody_79.pdb	173.76	1
34	rigidbody_19.pdb	173.89	-
35	rigidbody_125.pdb	176.54	-
36	rigidbody_1.pdb	176.62	1
37	rigidbody_111.pdb	177.37	-
38	rigidbody_24.pdb	177.85	1
39	rigidbody_22.pdb	178.09	-
40	rigidbody_156.pdb	178.85	-
41	rigidbody_53.pdb	179.49	-
42	rigidbody_59.pdb	179.88	-
43	rigidbody_93.pdb	179.92	-
44	rigidbody_165.pdb	180.08	-
45	rigidbody_17.pdb	180.28	-
46	rigidbody_44.pdb	180.35	-
47	rigidbody_164.pdb	180.90	-
48	rigidbody_100.pdb	181.13	-
49	rigidbody_8.pdb	181.79	-
50	rigidbody_189.pdb	182.09	-
51	rigidbody_85.pdb	183.77	-
52	rigidbody_188.pdb	184.39	1
53	rigidbody_80.pdb	184.69	-
54	rigidbody_134.pdb	185.19	-
55	rigidbody_30.pdb	185.24	-
56	rigidbody_81.pdb	185.87	-
57	rigidbody_138.pdb	185.93	-
58	rigidbody_35.pdb	185.96	-
59	rigidbody_168.pdb	186.18	-
60	rigidbody_40.pdb	186.84	-
61	rigidbody_62.pdb	186.98	-
62	rigidbody_152.pdb	187.01	-
63	rigidbody_91.pdb	187.17	1
64	rigidbody_182.pdb	187.18	-
65	rigidbody_148.pdb	187.21	-
66	rigidbody_147.pdb	188.84	-
67	rigidbody_37.pdb	188.90	-
68	rigidbody_157.pdb	189.07	-
69	rigidbody_109.pdb	189.30	-
70	rigidbody_51.pdb	190.02	-
71	rigidbody_48.pdb	190.14	-
72	rigidbody_158.pdb	190.61	-
73	rigidbody_75.pdb	190.69	-
74	rigidbody_127.pdb	192.12	-
75	rigidbody_110.pdb	192.29	-
76	rigidbody_119.pdb	193.07	-
77	rigidbody_142.pdb	193.55	-
78	rigidbody_61.pdb	193.68	-
79	rigidbody_26.pdb	193.81	1
80	rigidbody_3.pdb	195.07	-
81	rigidbody_177.pdb	195.10	-
82	rigidbody_103.pdb	196.11	-
83	rigidbody_36.pdb	196.18	-
84	rigidbody_82.pdb	197.08	-
85	rigidbody_47.pdb	197.31	-
86	rigidbody_28.pdb	197.44	-
87	rigidbody_56.pdb	197.59	-
88	rigidbody_140.pdb	197.60	-
89	rigidbody_7.pdb	198.48	-
90	rigidbody_112.pdb	198.84	-
91	rigidbody_174.pdb	199.21	-
92	rigidbody_151.pdb	200.10	-
93	rigidbody_122.pdb	201.20	-
94	rigidbody_50.pdb	201.26	-
95	rigidbody_121.pdb	201.87	-
96	rigidbody_172.pdb	202.29	-
97	rigidbody_29.pdb	202.90	-
98	rigidbody_175.pdb	203.22	-
99	rigidbody_149.pdb	203.69	-
100	rigidbody_88.pdb	204.90	-
101	rigidbody_173.pdb	205.00	-
102	rigidbody_14.pdb	207.27	-
103	rigidbody_25.pdb	207.42	-
104	rigidbody_129.pdb	207.71	-
105	rigidbody_113.pdb	208.02	-
106	rigidbody_32.pdb	208.41	-
107	rigidbody_171.pdb	209.01	-
108	rigidbody_57.pdb	209.79	-
109	rigidbody_136.pdb	209.98	-
110	rigidbody_76.pdb	210.05	-
111	rigidbody_71.pdb	210.41	-
112	rigidbody_190.pdb	210.62	-
113	rigidbody_70.pdb	210.65	-
114	rigidbody_27.pdb	211.43	-
115	rigidbody_102.pdb	211.53	-
116	rigidbody_141.pdb	211.61	-
117	rigidbody_101.pdb	212.36	-
118	rigidbody_185.pdb	212.44	-
119	rigidbody_144.pdb	212.54	-
120	rigidbody_46.pdb	213.69	-
121	rigidbody_135.pdb	213.77	-
122	rigidbody_23.pdb	214.09	-
123	rigidbody_45.pdb	214.15	-
124	rigidbody_98.pdb	215.25	-
125	rigidbody_72.pdb	215.69	-
126	rigidbody_86.pdb	215.91	-
127	rigidbody_108.pdb	216.00	-
128	rigidbody_65.pdb	216.02	-
129	rigidbody_31.pdb	217.88	-
130	rigidbody_90.pdb	219.41	-
131	rigidbody_162.pdb	220.96	-
132	rigidbody_68.pdb	221.10	-
