model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	cluster-id	cluster-ranking	model-cluster-ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	total	vdw	vean	xpcs
../08_mdscoring/mdscoring_6.pdb	-	1	-156.487	0.000	1.000	0.000	0.000	1.000	1	1	1	0.000	0.000	0.000	2574.780	0.000	0.000	0.000	-1.005	0.000	-241.176	0.000	0.000	0.000	-348.423	-107.247	0.000	0.000
../08_mdscoring/mdscoring_5.pdb	-	2	-154.504	1.129	0.772	1.112	1.264	0.798	1	1	2	0.000	0.000	0.000	2603.090	0.000	0.000	0.000	-7.582	0.000	-205.132	0.000	0.000	0.000	-311.027	-105.896	0.000	0.000
../08_mdscoring/mdscoring_3.pdb	-	3	-146.380	1.113	0.752	1.442	1.237	0.790	1	1	3	0.000	0.000	0.000	2566.880	0.000	0.000	0.000	-10.485	0.000	-132.268	0.000	0.000	0.000	-241.711	-109.442	0.000	0.000
../08_mdscoring/mdscoring_7.pdb	-	4	-144.684	1.241	0.782	1.174	1.391	0.786	1	1	4	0.000	0.000	0.000	2471.430	0.000	0.000	0.000	-3.857	0.000	-226.465	0.000	0.000	0.000	-322.000	-95.535	0.000	0.000
../08_mdscoring/mdscoring_2.pdb	-	5	-140.584	1.247	0.792	1.954	1.510	0.778	1	1	5	0.000	0.000	0.000	2548.250	0.000	0.000	0.000	-6.776	0.000	-128.441	0.000	0.000	0.000	-236.561	-108.120	0.000	0.000
../08_mdscoring/mdscoring_1.pdb	-	6	-132.889	1.460	0.614	3.812	1.887	0.653	1	1	6	0.000	0.000	0.000	2395.620	0.000	0.000	0.000	-5.280	0.000	-140.220	0.000	0.000	0.000	-239.785	-99.565	0.000	0.000
../08_mdscoring/mdscoring_4.pdb	-	7	-125.129	1.366	0.733	1.931	1.639	0.743	1	1	7	0.000	0.000	0.000	2448.420	0.000	0.000	0.000	-5.322	0.000	-116.459	0.000	0.000	0.000	-212.974	-96.515	0.000	0.000
../08_mdscoring/mdscoring_9.pdb	-	8	-124.600	1.406	0.703	1.383	1.753	0.736	1	1	8	0.000	0.000	0.000	2336.310	0.000	0.000	0.000	-2.236	0.000	-155.314	0.000	0.000	0.000	-246.615	-91.301	0.000	0.000
../08_mdscoring/mdscoring_10.pdb	-	9	-123.014	1.295	0.723	1.191	1.336	0.759	1	1	9	0.000	0.000	0.000	2398.770	0.000	0.000	0.000	-1.823	0.000	-121.378	0.000	0.000	0.000	-218.293	-96.915	0.000	0.000
../08_mdscoring/mdscoring_8.pdb	-	10	-116.622	2.288	0.564	5.161	3.840	0.532	1	1	10	0.000	0.000	0.000	2238.880	0.000	0.000	0.000	-3.254	0.000	-138.159	0.000	0.000	0.000	-223.895	-85.737	0.000	0.000
