model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	cluster-id	cluster-ranking	model-cluster-ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	total	vdw	vean	xpcs
../08_mdscoring/mdscoring_6.pdb	-	1	-137.515	0.000	1.000	0.000	0.000	1.000	1	1	1	0.000	0.000	0.000	2178.420	0.000	0.000	0.000	7.913	0.000	-287.055	0.000	0.000	0.000	-375.072	-88.016	0.000	0.000
../08_mdscoring/mdscoring_7.pdb	-	2	-137.500	2.268	0.637	9.121	4.036	0.469	1	1	2	0.000	0.000	0.000	2165.060	0.000	0.000	0.000	-1.223	0.000	-228.915	0.000	0.000	0.000	-319.409	-90.494	0.000	0.000
../08_mdscoring/mdscoring_3.pdb	-	3	-133.947	2.634	0.512	11.008	5.976	0.377	1	1	3	0.000	0.000	0.000	2125.850	0.000	0.000	0.000	8.124	0.000	-295.997	0.000	0.000	0.000	-378.868	-82.871	0.000	0.000
../08_mdscoring/mdscoring_9.pdb	-	4	-129.879	2.172	0.588	8.029	3.833	0.480	1	1	4	0.000	0.000	0.000	1975.970	0.000	0.000	0.000	-5.763	0.000	-214.703	0.000	0.000	0.000	-295.879	-81.176	0.000	0.000
../08_mdscoring/mdscoring_8.pdb	-	5	-126.734	2.241	0.650	8.622	3.993	0.484	1	1	5	0.000	0.000	0.000	2238.410	0.000	0.000	0.000	4.406	0.000	-243.647	0.000	0.000	0.000	-326.057	-82.410	0.000	0.000
../08_mdscoring/mdscoring_1.pdb	-	6	-124.576	1.993	0.625	7.341	3.599	0.520	1	1	6	0.000	0.000	0.000	2056.770	0.000	0.000	0.000	0.754	0.000	-244.821	0.000	0.000	0.000	-321.187	-76.366	0.000	0.000
../08_mdscoring/mdscoring_10.pdb	-	7	-123.304	2.256	0.500	7.773	4.526	0.450	1	1	7	0.000	0.000	0.000	1963.260	0.000	0.000	0.000	4.877	0.000	-253.696	0.000	0.000	0.000	-331.138	-77.442	0.000	0.000
../08_mdscoring/mdscoring_2.pdb	-	8	-122.238	2.181	0.600	8.252	3.703	0.479	1	1	8	0.000	0.000	0.000	2043.310	0.000	0.000	0.000	1.028	0.000	-237.409	0.000	0.000	0.000	-313.193	-75.784	0.000	0.000
../08_mdscoring/mdscoring_5.pdb	-	9	-118.761	1.927	0.637	7.379	3.200	0.528	1	1	9	0.000	0.000	0.000	1918.770	0.000	0.000	0.000	2.483	0.000	-253.086	0.000	0.000	0.000	-323.712	-70.627	0.000	0.000
../08_mdscoring/mdscoring_4.pdb	-	10	-116.153	1.948	0.650	8.005	3.424	0.517	1	1	10	0.000	0.000	0.000	2015.870	0.000	0.000	0.000	8.041	0.000	-296.038	0.000	0.000	0.000	-361.025	-64.987	0.000	0.000
