model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	cluster-id	cluster-ranking	model-cluster-ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	total	vdw	vean	xpcs
../08_mdscoring/mdscoring_3.pdb	-	1	-198.628	0.000	1.000	0.000	0.000	1.000	1	1	1	0.000	0.000	0.000	2827.720	0.000	0.000	0.000	-2.687	0.000	-429.081	0.000	0.000	0.000	-539.206	-110.125	0.000	0.000
../08_mdscoring/mdscoring_4.pdb	-	2	-170.767	1.590	0.706	2.808	2.036	0.693	1	1	2	0.000	0.000	0.000	2811.080	0.000	0.000	0.000	2.044	0.000	-387.594	0.000	0.000	0.000	-482.886	-95.292	0.000	0.000
../08_mdscoring/mdscoring_1.pdb	-	3	-167.633	1.838	0.598	3.697	3.129	0.613	1	1	3	0.000	0.000	0.000	2692.060	0.000	0.000	0.000	11.284	0.000	-468.828	0.000	0.000	0.000	-553.980	-85.151	0.000	0.000
../08_mdscoring/mdscoring_9.pdb	-	4	-166.053	1.475	0.676	2.096	1.936	0.709	1	1	4	0.000	0.000	0.000	2646.320	0.000	0.000	0.000	-5.928	0.000	-271.182	0.000	0.000	0.000	-377.070	-105.889	0.000	0.000
../08_mdscoring/mdscoring_5.pdb	-	5	-159.534	1.106	0.794	1.547	1.284	0.803	1	1	5	0.000	0.000	0.000	2583.910	0.000	0.000	0.000	-7.441	0.000	-282.776	0.000	0.000	0.000	-378.315	-95.538	0.000	0.000
../08_mdscoring/mdscoring_8.pdb	-	6	-156.565	1.454	0.686	2.332	1.991	0.711	1	1	6	0.000	0.000	0.000	2453.850	0.000	0.000	0.000	-8.409	0.000	-256.588	0.000	0.000	0.000	-353.426	-96.838	0.000	0.000
../08_mdscoring/mdscoring_2.pdb	-	7	-154.974	1.540	0.686	1.970	1.903	0.707	1	1	7	0.000	0.000	0.000	2681.520	0.000	0.000	0.000	2.302	0.000	-339.637	0.000	0.000	0.000	-428.985	-89.348	0.000	0.000
../08_mdscoring/mdscoring_6.pdb	-	8	-152.224	1.577	0.706	2.326	2.033	0.704	1	1	8	0.000	0.000	0.000	2621.490	0.000	0.000	0.000	-12.141	0.000	-194.486	0.000	0.000	0.000	-295.672	-101.186	0.000	0.000
../08_mdscoring/mdscoring_10.pdb	-	9	-148.461	1.563	0.667	2.670	2.281	0.685	1	1	9	0.000	0.000	0.000	2620.090	0.000	0.000	0.000	-0.739	0.000	-287.747	0.000	0.000	0.000	-377.920	-90.173	0.000	0.000
../08_mdscoring/mdscoring_7.pdb	-	10	-128.815	1.470	0.627	1.982	1.838	0.695	1	1	10	0.000	0.000	0.000	2472.880	0.000	0.000	0.000	-1.004	0.000	-254.363	0.000	0.000	0.000	-331.301	-76.938	0.000	0.000
