model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	cluster-id	cluster-ranking	model-cluster-ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	total	vdw	vean	xpcs
../08_mdscoring/mdscoring_5.pdb	-	1	-130.076	0.000	1.000	0.000	0.000	1.000	1	1	1	0.000	0.000	0.000	2226.090	0.000	0.000	0.000	9.459	0.000	-305.174	0.000	0.000	0.000	-383.675	-78.501	0.000	0.000
../08_mdscoring/mdscoring_7.pdb	-	2	-121.809	1.240	0.884	1.492	1.535	0.816	1	1	2	0.000	0.000	0.000	2009.040	0.000	0.000	0.000	14.386	0.000	-317.438	0.000	0.000	0.000	-390.146	-72.707	0.000	0.000
../08_mdscoring/mdscoring_8.pdb	-	3	-112.976	1.455	0.710	1.954	2.232	0.725	1	1	3	0.000	0.000	0.000	2087.130	0.000	0.000	0.000	14.142	0.000	-258.635	0.000	0.000	0.000	-334.026	-75.391	0.000	0.000
../08_mdscoring/mdscoring_2.pdb	-	4	-110.302	1.130	0.812	1.395	1.170	0.808	1	1	4	0.000	0.000	0.000	1986.200	0.000	0.000	0.000	8.751	0.000	-229.852	0.000	0.000	0.000	-302.936	-73.084	0.000	0.000
../08_mdscoring/mdscoring_1.pdb	-	5	-108.930	1.267	0.710	2.631	1.239	0.735	1	1	5	0.000	0.000	0.000	2003.010	0.000	0.000	0.000	14.826	0.000	-273.315	0.000	0.000	0.000	-342.408	-69.093	0.000	0.000
../08_mdscoring/mdscoring_10.pdb	-	6	-106.573	1.501	0.739	2.892	1.543	0.712	1	1	6	0.000	0.000	0.000	2007.710	0.000	0.000	0.000	11.034	0.000	-216.447	0.000	0.000	0.000	-290.765	-74.318	0.000	0.000
../08_mdscoring/mdscoring_3.pdb	-	7	-106.026	2.792	0.594	5.153	5.699	0.516	1	1	7	0.000	0.000	0.000	1934.710	0.000	0.000	0.000	16.420	0.000	-306.625	0.000	0.000	0.000	-367.747	-61.121	0.000	0.000
../08_mdscoring/mdscoring_4.pdb	-	8	-98.701	2.007	0.681	3.169	4.042	0.639	1	1	8	0.000	0.000	0.000	1984.500	0.000	0.000	0.000	14.961	0.000	-251.605	0.000	0.000	0.000	-314.946	-63.341	0.000	0.000
../08_mdscoring/mdscoring_6.pdb	-	9	-97.225	2.476	0.623	4.601	4.871	0.555	1	1	9	0.000	0.000	0.000	2126.130	0.000	0.000	0.000	16.151	0.000	-213.468	0.000	0.000	0.000	-284.149	-70.682	0.000	0.000
../08_mdscoring/mdscoring_9.pdb	-	10	-94.990	2.755	0.565	8.273	6.136	0.436	1	1	10	0.000	0.000	0.000	1974.800	0.000	0.000	0.000	12.571	0.000	-179.912	0.000	0.000	0.000	-251.491	-71.579	0.000	0.000
