model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	cluster-id	cluster-ranking	model-cluster-ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	total	vdw	vean	xpcs
../08_mdscoring/mdscoring_3.pdb	-	1	-154.406	0.000	1.000	0.000	0.000	1.000	1	1	1	0.000	0.000	0.000	2778.030	0.000	0.000	0.000	9.659	0.000	-263.302	0.000	0.000	0.000	-374.707	-111.405	0.000	0.000
../08_mdscoring/mdscoring_8.pdb	-	2	-147.889	1.606	0.673	5.498	3.055	0.615	1	1	2	0.000	0.000	0.000	2656.850	0.000	0.000	0.000	-4.979	0.000	-224.355	0.000	0.000	0.000	-322.394	-98.039	0.000	0.000
../08_mdscoring/mdscoring_10.pdb	-	3	-146.430	1.580	0.683	4.246	2.408	0.652	1	1	3	0.000	0.000	0.000	2509.790	0.000	0.000	0.000	1.969	0.000	-204.395	0.000	0.000	0.000	-311.915	-107.520	0.000	0.000
../08_mdscoring/mdscoring_7.pdb	-	4	-144.346	1.387	0.731	3.972	2.022	0.697	1	1	4	0.000	0.000	0.000	2728.250	0.000	0.000	0.000	10.157	0.000	-258.671	0.000	0.000	0.000	-361.440	-102.769	0.000	0.000
../08_mdscoring/mdscoring_6.pdb	-	5	-139.745	1.728	0.663	4.314	3.038	0.629	1	1	5	0.000	0.000	0.000	2563.350	0.000	0.000	0.000	4.487	0.000	-231.674	0.000	0.000	0.000	-329.572	-97.898	0.000	0.000
../08_mdscoring/mdscoring_2.pdb	-	6	-137.811	1.675	0.692	5.145	2.573	0.623	1	1	6	0.000	0.000	0.000	2591.160	0.000	0.000	0.000	-0.822	0.000	-180.286	0.000	0.000	0.000	-281.217	-100.931	0.000	0.000
../08_mdscoring/mdscoring_9.pdb	-	7	-125.587	1.931	0.596	6.700	3.629	0.530	1	1	7	0.000	0.000	0.000	2466.530	0.000	0.000	0.000	0.031	0.000	-209.060	0.000	0.000	0.000	-292.867	-83.806	0.000	0.000
../08_mdscoring/mdscoring_4.pdb	-	8	-124.528	1.581	0.692	4.633	2.683	0.646	1	1	8	0.000	0.000	0.000	2401.190	0.000	0.000	0.000	2.836	0.000	-210.734	0.000	0.000	0.000	-295.951	-85.217	0.000	0.000
../08_mdscoring/mdscoring_5.pdb	-	9	-122.583	1.902	0.558	5.586	3.423	0.547	1	1	9	0.000	0.000	0.000	2292.700	0.000	0.000	0.000	-2.467	0.000	-211.978	0.000	0.000	0.000	-289.698	-77.720	0.000	0.000
../08_mdscoring/mdscoring_1.pdb	-	10	-120.177	1.675	0.644	6.424	3.026	0.575	1	1	10	0.000	0.000	0.000	2504.140	0.000	0.000	0.000	1.316	0.000	-182.302	0.000	0.000	0.000	-267.335	-85.033	0.000	0.000
