structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-142.41974
mdscoring_2.pdb	mdref_2.pdb	None	-140.92226
mdscoring_3.pdb	mdref_3.pdb	None	-126.00450000000001
mdscoring_4.pdb	mdref_4.pdb	None	-171.3478
mdscoring_5.pdb	mdref_5.pdb	None	-134.61422
mdscoring_6.pdb	mdref_6.pdb	None	-140.14787
mdscoring_7.pdb	mdref_7.pdb	None	-128.99812999999997
mdscoring_8.pdb	mdref_8.pdb	None	-161.6362
mdscoring_9.pdb	mdref_9.pdb	None	-153.04542014999998
mdscoring_10.pdb	mdref_10.pdb	None	-163.788502
