model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	cluster-id	cluster-ranking	model-cluster-ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	total	vdw	vean	xpcs
../08_mdscoring/mdscoring_4.pdb	-	1	-171.348	0.000	1.000	0.000	0.000	1.000	1	1	1	0.000	0.000	0.000	2749.590	0.000	0.000	0.000	-10.961	0.000	-245.494	0.000	0.000	0.000	-356.782	-111.288	0.000	0.000
../08_mdscoring/mdscoring_10.pdb	-	2	-163.789	1.357	0.763	1.455	1.583	0.762	1	1	2	0.000	0.000	0.000	2831.000	0.000	0.000	0.000	-0.438	0.000	-259.629	0.000	0.000	0.000	-371.053	-111.425	0.000	0.000
../08_mdscoring/mdscoring_8.pdb	-	3	-161.636	1.483	0.722	2.253	2.571	0.721	1	1	3	0.000	0.000	0.000	2675.640	0.000	0.000	0.000	-16.309	0.000	-154.491	0.000	0.000	0.000	-268.921	-114.429	0.000	0.000
../08_mdscoring/mdscoring_9.pdb	-	4	-153.045	1.242	0.773	1.756	1.491	0.775	1	1	4	0.000	0.000	0.000	2780.920	0.000	0.000	0.000	-0.038	0.000	-208.613	0.000	0.000	0.000	-319.898	-111.285	0.000	0.000
../08_mdscoring/mdscoring_1.pdb	-	5	-142.420	1.639	0.639	3.261	2.784	0.656	1	1	5	0.000	0.000	0.000	2670.020	0.000	0.000	0.000	-8.760	0.000	-144.816	0.000	0.000	0.000	-249.513	-104.697	0.000	0.000
../08_mdscoring/mdscoring_2.pdb	-	6	-140.922	1.350	0.670	2.032	1.849	0.723	1	1	6	0.000	0.000	0.000	2698.510	0.000	0.000	0.000	-4.114	0.000	-154.635	0.000	0.000	0.000	-260.516	-105.881	0.000	0.000
../08_mdscoring/mdscoring_6.pdb	-	7	-140.148	1.333	0.814	1.666	1.692	0.779	1	1	7	0.000	0.000	0.000	2767.630	0.000	0.000	0.000	-4.657	0.000	-142.713	0.000	0.000	0.000	-249.662	-106.948	0.000	0.000
../08_mdscoring/mdscoring_5.pdb	-	8	-134.614	1.183	0.711	1.554	1.572	0.765	1	1	8	0.000	0.000	0.000	2700.900	0.000	0.000	0.000	-8.538	0.000	-129.103	0.000	0.000	0.000	-229.359	-100.256	0.000	0.000
../08_mdscoring/mdscoring_7.pdb	-	9	-128.998	1.500	0.701	2.551	2.289	0.706	1	1	9	0.000	0.000	0.000	2596.600	0.000	0.000	0.000	-7.988	0.000	-124.798	0.000	0.000	0.000	-220.849	-96.050	0.000	0.000
../08_mdscoring/mdscoring_3.pdb	-	10	-126.005	1.376	0.701	2.403	1.937	0.723	1	1	10	0.000	0.000	0.000	2607.920	0.000	0.000	0.000	-11.122	0.000	-121.293	0.000	0.000	0.000	-211.916	-90.624	0.000	0.000
