model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	cluster-id	cluster-ranking	model-cluster-ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	total	vdw	vean	xpcs
../08_mdscoring/mdscoring_10.pdb	-	1	-172.365	0.000	1.000	0.000	0.000	1.000	1	1	1	0.000	0.000	0.000	2551.310	0.000	0.000	0.000	2.473	0.000	-356.318	0.000	0.000	0.000	-459.893	-103.575	0.000	0.000
../08_mdscoring/mdscoring_5.pdb	-	2	-171.642	1.183	0.827	1.276	1.018	0.807	1	1	2	0.000	0.000	0.000	2625.530	0.000	0.000	0.000	-4.570	0.000	-273.215	0.000	0.000	0.000	-385.644	-112.429	0.000	0.000
../08_mdscoring/mdscoring_6.pdb	-	3	-170.764	1.255	0.702	1.102	1.293	0.758	1	1	3	0.000	0.000	0.000	2578.230	0.000	0.000	0.000	2.118	0.000	-388.899	0.000	0.000	0.000	-484.001	-95.103	0.000	0.000
../08_mdscoring/mdscoring_2.pdb	-	4	-168.862	1.230	0.673	1.001	1.228	0.752	1	1	4	0.000	0.000	0.000	2613.820	0.000	0.000	0.000	-3.170	0.000	-402.806	0.000	0.000	0.000	-487.936	-85.131	0.000	0.000
../08_mdscoring/mdscoring_1.pdb	-	5	-166.408	1.216	0.740	1.319	1.392	0.773	1	1	5	0.000	0.000	0.000	2625.720	0.000	0.000	0.000	-4.729	0.000	-306.022	0.000	0.000	0.000	-406.497	-100.474	0.000	0.000
../08_mdscoring/mdscoring_3.pdb	-	6	-160.115	1.240	0.721	1.355	0.991	0.763	1	1	6	0.000	0.000	0.000	2564.050	0.000	0.000	0.000	0.306	0.000	-354.291	0.000	0.000	0.000	-443.855	-89.563	0.000	0.000
../08_mdscoring/mdscoring_4.pdb	-	7	-158.056	1.497	0.712	1.887	1.625	0.722	1	1	7	0.000	0.000	0.000	2602.030	0.000	0.000	0.000	-4.198	0.000	-323.243	0.000	0.000	0.000	-412.453	-89.210	0.000	0.000
../08_mdscoring/mdscoring_7.pdb	-	8	-155.323	1.107	0.740	1.029	0.843	0.791	1	1	8	0.000	0.000	0.000	2616.380	0.000	0.000	0.000	-0.878	0.000	-276.501	0.000	0.000	0.000	-375.645	-99.144	0.000	0.000
../08_mdscoring/mdscoring_9.pdb	-	9	-152.497	1.196	0.740	1.882	1.338	0.768	1	1	9	0.000	0.000	0.000	2680.000	0.000	0.000	0.000	-9.017	0.000	-200.633	0.000	0.000	0.000	-303.985	-103.353	0.000	0.000
../08_mdscoring/mdscoring_8.pdb	-	10	-149.395	1.219	0.692	1.587	1.372	0.754	1	1	10	0.000	0.000	0.000	2535.880	0.000	0.000	0.000	-5.291	0.000	-263.010	0.000	0.000	0.000	-354.512	-91.503	0.000	0.000
