structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-106.06273
mdscoring_2.pdb	mdref_2.pdb	None	-112.77198
mdscoring_3.pdb	mdref_3.pdb	None	-114.94127999999999
mdscoring_4.pdb	mdref_4.pdb	None	-110.071325
mdscoring_5.pdb	mdref_5.pdb	None	-132.19669000000002
mdscoring_6.pdb	mdref_6.pdb	None	-101.72474
mdscoring_7.pdb	mdref_7.pdb	None	-102.43354000000001
mdscoring_8.pdb	mdref_8.pdb	None	-122.69270999999999
mdscoring_9.pdb	mdref_9.pdb	None	-86.94886000000001
mdscoring_10.pdb	mdref_10.pdb	None	-91.75594000000001
